,carat,cut,color,clarity,depth,table,x,y,z,price
47,0.32,Very Good,H,SI2,61.8,55,4.35,4.42,2.71,403
48,0.32,Good,H,SI2,63.8,56,4.36,4.38,2.79,403
49,0.25,Very Good,E,VS2,63.3,60,4,4.03,2.54,404
50,0.29,Very Good,H,SI2,60.7,60,4.33,4.37,2.64,404
51,0.24,Very Good,F,SI1,60.9,61,4.02,4.03,2.45,404
52,0.23,Ideal,G,VS1,61.9,54,3.93,3.95,2.44,404
53,0.32,Ideal,I,SI1,60.9,55,4.45,4.48,2.72,404
54,0.22,Premium,E,VS2,61.6,58,3.93,3.89,2.41,404
55,0.22,Premium,D,VS2,59.3,62,3.91,3.88,2.31,404
56,0.3,Ideal,I,SI2,61,59,4.3,4.33,2.63,405
57,0.3,Premium,J,SI2,59.3,61,4.43,4.38,2.61,405
58,0.3,Very Good,I,SI1,62.6,57,4.25,4.28,2.67,405
59,0.3,Very Good,I,SI1,63,57,4.28,4.32,2.71,405
60,0.3,Good,I,SI1,63.2,55,4.25,4.29,2.7,405
61,0.35,Ideal,I,VS1,60.9,57,4.54,4.59,2.78,552
62,0.3,Premium,D,SI1,62.6,59,4.23,4.27,2.66,552
63,0.3,Ideal,D,SI1,62.5,57,4.29,4.32,2.69,552
64,0.3,Ideal,D,SI1,62.1,56,4.3,4.33,2.68,552
65,0.42,Premium,I,SI2,61.5,59,4.78,4.84,2.96,552
66,0.28,Ideal,G,VVS2,61.4,56,4.19,4.22,2.58,553
67,0.32,Ideal,I,VVS1,62,55.3,4.39,4.42,2.73,553
68,0.31,Very Good,G,SI1,63.3,57,4.33,4.3,2.73,553
69,0.31,Premium,G,SI1,61.8,58,4.35,4.32,2.68,553
70,0.24,Premium,E,VVS1,60.7,58,4.01,4.03,2.44,553
71,0.24,Very Good,D,VVS1,61.5,60,3.97,4,2.45,553
72,0.3,Very Good,H,SI1,63.1,56,4.29,4.27,2.7,554
73,0.3,Premium,H,SI1,62.9,59,4.28,4.24,2.68,554
74,0.3,Premium,H,SI1,62.5,57,4.29,4.25,2.67,554
75,0.3,Good,H,SI1,63.7,57,4.28,4.26,2.72,554
76,0.26,Very Good,F,VVS2,59.2,60,4.19,4.22,2.49,554
77,0.26,Very Good,E,VVS2,59.9,58,4.15,4.23,2.51,554
78,0.26,Very Good,D,VVS2,62.4,54,4.08,4.13,2.56,554
79,0.26,Very Good,D,VVS2,62.8,60,4.01,4.05,2.53,554
80,0.26,Very Good,E,VVS1,62.6,59,4.06,4.09,2.55,554
81,0.26,Very Good,E,VVS1,63.4,59,4,4.04,2.55,554
82,0.26,Very Good,D,VVS1,62.1,60,4.03,4.12,2.53,554
83,0.26,Ideal,E,VVS2,62.9,58,4.02,4.06,2.54,554
84,0.38,Ideal,I,SI2,61.6,56,4.65,4.67,2.87,554
85,0.26,Good,E,VVS1,57.9,60,4.22,4.25,2.45,554
86,0.24,Premium,G,VVS1,62.3,59,3.95,3.92,2.45,554
87,0.24,Premium,H,VVS1,61.2,58,4.01,3.96,2.44,554
88,0.24,Premium,H,VVS1,60.8,59,4.02,4,2.44,554
89,0.24,Premium,H,VVS2,60.7,58,4.07,4.04,2.46,554
90,0.32,Premium,I,SI1,62.9,58,4.35,4.33,2.73,554
91,0.7,Ideal,E,SI1,62.5,57,5.7,5.72,3.57,2757
92,0.86,Fair,E,SI2,55.1,69,6.45,6.33,3.52,2757
93,0.7,Ideal,G,VS2,61.6,56,5.7,5.67,3.5,2757
94,0.71,Very Good,E,VS2,62.4,57,5.68,5.73,3.56,2759
95,0.78,Very Good,G,SI2,63.8,56,5.81,5.85,3.72,2759
96,0.7,Good,E,VS2,57.5,58,5.85,5.9,3.38,2759
97,0.7,Good,F,VS1,59.4,62,5.71,5.76,3.4,2759
98,0.96,Fair,F,SI2,66.3,62,6.27,5.95,4.07,2759
99,0.73,Very Good,E,SI1,61.6,59,5.77,5.78,3.56,2760
100,0.8,Premium,H,SI1,61.5,58,5.97,5.93,3.66,2760
101,0.75,Very Good,D,SI1,63.2,56,5.8,5.75,3.65,2760
102,0.75,Premium,E,SI1,59.9,54,6,5.96,3.58,2760
103,0.74,Ideal,G,SI1,61.6,55,5.8,5.85,3.59,2760
104,0.75,Premium,G,VS2,61.7,58,5.85,5.79,3.59,2760
105,0.8,Ideal,I,VS1,62.9,56,5.94,5.87,3.72,2760
106,0.75,Ideal,G,SI1,62.2,55,5.87,5.8,3.63,2760
107,0.8,Premium,G,SI1,63,59,5.9,5.81,3.69,2760
108,0.74,Ideal,I,VVS2,62.3,55,5.77,5.81,3.61,2761
109,0.81,Ideal,F,SI2,58.8,57,6.14,6.11,3.6,2761
110,0.59,Ideal,E,VVS2,62,55,5.38,5.43,3.35,2761
111,0.8,Ideal,F,SI2,61.4,57,5.96,6,3.67,2761
112,0.74,Ideal,E,SI2,62.2,56,5.8,5.84,3.62,2761
113,0.9,Premium,I,VS2,63,58,6.16,6.12,3.87,2761
114,0.74,Very Good,G,SI1,62.2,59,5.73,5.82,3.59,2762
115,0.73,Ideal,F,VS2,62.6,56,5.77,5.74,3.6,2762
116,0.73,Ideal,F,VS2,62.7,53,5.8,5.75,3.62,2762
117,0.8,Premium,F,SI2,61.7,58,5.98,5.94,3.68,2762
118,0.71,Ideal,G,VS2,62.4,54,5.72,5.76,3.58,2762
119,0.7,Ideal,E,VS2,60.7,58,5.73,5.76,3.49,2762
120,0.8,Ideal,F,SI2,59.9,59,6.01,6.07,3.62,2762
121,0.71,Ideal,D,SI2,62.3,56,5.73,5.69,3.56,2762
122,0.74,Ideal,E,SI1,62.3,54,5.8,5.83,3.62,2762
123,0.7,Very Good,F,VS2,61.7,63,5.64,5.61,3.47,2762
124,0.7,Fair,F,VS2,64.5,57,5.57,5.53,3.58,2762
125,0.7,Fair,F,VS2,65.3,55,5.63,5.58,3.66,2762
126,0.7,Premium,F,VS2,61.6,60,5.65,5.59,3.46,2762
127,0.91,Premium,H,SI1,61.4,56,6.09,5.97,3.7,2763
128,0.61,Very Good,D,VVS2,59.6,57,5.56,5.58,3.32,2763
129,0.91,Fair,H,SI2,64.4,57,6.11,6.09,3.93,2763
130,0.91,Fair,H,SI2,65.7,60,6.03,5.99,3.95,2763
131,0.77,Ideal,H,VS2,62,56,5.89,5.86,3.64,2763
132,0.71,Very Good,D,SI1,63.6,58,5.64,5.68,3.6,2764
133,0.71,Ideal,D,SI1,61.9,59,5.69,5.72,3.53,2764
134,0.7,Very Good,E,VS2,62.6,60,5.62,5.65,3.53,2765
135,0.77,Very Good,H,VS1,61.3,60,5.88,5.9,3.61,2765
136,0.63,Premium,E,VVS1,60.9,60,5.52,5.55,3.37,2765
137,0.71,Very Good,F,VS1,60.1,62,5.74,5.77,3.46,2765
138,0.71,Premium,F,VS1,61.8,59,5.69,5.73,3.53,2765
139,0.76,Ideal,H,SI1,61.2,57,5.88,5.91,3.61,2765
140,0.64,Ideal,G,VVS1,61.9,56,5.53,5.56,3.43,2766
141,0.71,Premium,G,VS2,60.9,57,5.78,5.75,3.51,2766
142,0.71,Premium,G,VS2,59.8,56,5.89,5.81,3.5,2766
143,0.7,Very Good,D,VS2,61.8,55,5.68,5.72,3.52,2767
144,0.7,Very Good,F,VS1,60,57,5.8,5.87,3.5,2767
145,0.71,Ideal,D,SI2,61.6,55,5.74,5.76,3.54,2767
146,0.7,Good,H,VVS2,62.1,64,5.62,5.65,3.5,2767
147,0.71,Very Good,G,VS1,63.3,59,5.52,5.61,3.52,2768
148,0.73,Very Good,D,SI1,60.2,56,5.83,5.87,3.52,2768
149,0.7,Very Good,D,SI1,61.1,58,5.66,5.73,3.48,2768
150,0.7,Ideal,E,SI1,60.9,57,5.73,5.76,3.5,2768
151,0.71,Premium,D,SI2,61.7,59,5.71,5.67,3.51,2768
152,0.74,Ideal,I,SI1,61.3,56,5.82,5.86,3.57,2769
153,0.71,Premium,D,VS2,62.5,60,5.65,5.61,3.52,2770
154,0.73,Premium,G,VS2,61.4,59,5.83,5.76,3.56,2770
155,0.76,Very Good,F,SI1,62.9,57,5.79,5.81,3.65,2770
156,0.76,Ideal,D,SI2,62.4,57,5.78,5.83,3.62,2770
157,0.71,Ideal,F,SI1,60.7,56,5.77,5.8,3.51,2770
158,0.73,Premium,G,VS2,60.7,58,5.87,5.82,3.55,2770
159,0.73,Premium,G,VS1,61.5,58,5.79,5.75,3.55,2770
160,0.73,Ideal,D,SI2,59.9,57,5.92,5.89,3.54,2770
161,0.73,Premium,G,VS2,59.2,59,5.92,5.87,3.49,2770
162,0.72,Very Good,H,VVS2,60.3,56,5.81,5.83,3.51,2771
163,0.73,Very Good,F,SI1,61.7,60,5.79,5.82,3.58,2771
164,0.71,Ideal,G,VS2,61.9,57,5.73,5.77,3.56,2771
165,0.79,Ideal,F,SI2,61.9,55,5.97,5.92,3.68,2771
166,0.73,Very Good,H,VVS1,60.4,59,5.83,5.89,3.54,2772
167,0.8,Very Good,F,SI2,61,57,6.01,6.03,3.67,2772
168,0.58,Ideal,G,VVS1,61.5,55,5.39,5.44,3.33,2772
169,0.58,Ideal,F,VVS1,61.7,56,5.33,5.37,3.3,2772
170,0.71,Good,E,VS2,59.2,61,5.8,5.88,3.46,2772
171,0.75,Ideal,D,SI2,61.3,56,5.85,5.89,3.6,2773
172,0.7,Premium,D,VS2,58,62,5.87,5.78,3.38,2773
173,1.17,Very Good,J,I1,60.2,61,6.83,6.9,4.13,2774
174,0.6,Ideal,E,VS1,61.7,55,5.41,5.44,3.35,2774
175,0.7,Ideal,E,SI1,62.7,55,5.68,5.74,3.58,2774
176,0.83,Good,I,VS2,64.6,54,5.85,5.88,3.79,2774
177,0.74,Very Good,F,VS2,61.3,61,5.8,5.84,3.57,2775
178,0.72,Very Good,G,VS2,63.7,56.4,5.62,5.69,3.61,2776
179,0.71,Premium,E,VS2,62.7,58,5.74,5.68,3.58,2776
180,0.71,Ideal,E,VS2,62.2,57,5.79,5.62,3.55,2776
181,0.54,Ideal,E,VVS2,61.6,56,5.25,5.27,3.24,2776
182,0.54,Ideal,E,VVS2,61.5,57,5.24,5.26,3.23,2776
183,0.72,Ideal,G,SI1,61.8,56,5.72,5.75,3.55,2776
184,0.72,Ideal,G,SI1,60.7,56,5.79,5.82,3.53,2776
185,0.72,Good,G,VS2,59.7,60.5,5.8,5.84,3.47,2776
186,0.71,Ideal,G,SI1,60.5,56,5.8,5.76,3.5,2776
187,0.7,Very Good,D,VS1,62.7,58,5.66,5.73,3.57,2777
188,0.71,Premium,F,VS2,62.1,58,5.67,5.7,3.53,2777
189,0.71,Very Good,F,VS2,62.8,57,5.64,5.69,3.56,2777
190,0.71,Good,F,VS2,63.8,58,5.61,5.64,3.59,2777
191,0.71,Good,F,VS2,57.8,60,5.87,5.9,3.4,2777
192,0.7,Ideal,E,VS2,62.1,55,5.7,5.67,3.53,2777
193,0.7,Premium,E,VS2,61.1,60,5.71,5.64,3.47,2777
194,0.7,Premium,E,SI1,60,59,5.79,5.75,3.46,2777
195,0.7,Premium,E,SI1,61.2,57,5.73,5.68,3.49,2777
196,0.7,Premium,E,SI1,62.7,59,5.67,5.63,3.54,2777
197,0.7,Premium,E,SI1,61,57,5.73,5.68,3.48,2777
198,0.7,Premium,E,SI1,61,58,5.78,5.72,3.51,2777
199,0.7,Ideal,E,SI1,61.4,57,5.76,5.7,3.52,2777
200,0.72,Premium,F,SI1,61.8,61,5.82,5.71,3.56,2777
201,0.7,Very Good,E,SI1,59.9,63,5.76,5.7,3.43,2777
202,0.7,Premium,E,SI1,61.3,58,5.71,5.68,3.49,2777
203,0.7,Premium,E,SI1,60.5,58,5.77,5.74,3.48,2777
204,0.7,Good,E,VS2,64.1,59,5.64,5.59,3.6,2777
205,0.98,Fair,H,SI2,67.9,60,6.05,5.97,4.08,2777
206,0.78,Premium,F,SI1,62.4,58,5.83,5.8,3.63,2777
207,0.7,Very Good,E,SI1,63.2,60,5.6,5.51,3.51,2777
208,0.52,Ideal,F,VVS1,61.3,55,5.19,5.22,3.19,2778
209,0.73,Very Good,H,VS2,60.8,56,5.82,5.84,3.55,2779
210,0.74,Ideal,E,SI1,61.7,56,5.84,5.8,3.59,2779
211,0.7,Very Good,F,VS2,63.6,57,5.61,5.65,3.58,2780
212,0.77,Premium,G,VS2,61.2,58,5.9,5.93,3.62,2780
213,0.71,Ideal,F,VS2,62.1,54,5.68,5.72,3.54,2780
214,0.74,Ideal,G,VS1,61.5,55,5.81,5.86,3.59,2780
215,0.7,Ideal,G,VS1,61.4,59,5.64,5.73,3.49,2780
216,1.01,Premium,F,I1,61.8,60,6.39,6.36,3.94,2781
217,0.77,Ideal,H,SI1,62.2,56,5.83,5.88,3.64,2781
218,0.78,Ideal,H,SI1,61.2,56,5.92,5.99,3.64,2781
219,0.72,Very Good,H,VS1,60.6,63,5.83,5.76,3.51,2782
220,0.53,Very Good,D,VVS2,57.5,64,5.34,5.37,3.08,2782
221,0.76,Ideal,G,VS2,61.3,56,5.9,5.94,3.63,2782
222,0.7,Good,E,VS1,57.2,62,5.81,5.77,3.31,2782
223,0.7,Premium,E,VS1,62.9,60,5.62,5.54,3.51,2782
224,0.75,Very Good,D,SI2,63.1,58,5.78,5.73,3.63,2782
225,0.72,Ideal,D,SI1,60.8,57,5.76,5.75,3.5,2782
226,0.72,Premium,D,SI1,62.7,59,5.73,5.69,3.58,2782
227,0.7,Premium,D,SI1,62.8,60,5.68,5.66,3.56,2782
228,0.84,Fair,G,SI1,55.1,67,6.39,6.2,3.47,2782
229,0.75,Premium,F,SI1,61.4,59,5.88,5.85,3.6,2782
230,0.52,Ideal,F,IF,62.2,55,5.14,5.18,3.21,2783
231,0.72,Very Good,F,VS2,63,54,5.69,5.73,3.6,2784
232,0.79,Very Good,H,VS1,63.7,56,5.85,5.92,3.75,2784
233,0.72,Very Good,F,VS2,63.6,58,5.66,5.69,3.61,2787
234,0.51,Ideal,F,VVS1,62,57,5.11,5.15,3.18,2787
235,0.64,Ideal,D,VS1,61.5,56,5.54,5.55,3.41,2787
236,0.7,Very Good,H,VVS1,60.5,60,5.74,5.77,3.48,2788
237,0.83,Very Good,I,VS1,61.1,60,6.07,6.1,3.72,2788
238,0.76,Ideal,I,VVS2,61.8,56,5.85,5.87,3.62,2788
239,0.71,Good,D,VS2,63.3,56,5.64,5.68,3.58,2788
240,0.77,Good,G,VS1,59.4,64,5.97,5.92,3.53,2788
241,0.71,Ideal,F,SI1,62.5,55,5.71,5.65,3.55,2788
242,1.01,Fair,E,I1,64.5,58,6.29,6.21,4.03,2788
243,1.01,Premium,H,SI2,62.7,59,6.31,6.22,3.93,2788
244,0.77,Good,F,SI1,64.2,52,5.81,5.77,3.72,2789
245,0.76,Good,E,SI1,63.7,54,5.76,5.85,3.7,2789
246,0.76,Premium,E,SI1,60.4,58,5.92,5.94,3.58,2789
247,0.76,Premium,E,SI1,61.8,58,5.82,5.86,3.61,2789
248,1.05,Very Good,J,SI2,63.2,56,6.49,6.45,4.09,2789
249,0.81,Ideal,G,SI2,61.6,56,5.97,6.01,3.69,2789
250,0.7,Ideal,E,SI1,61.6,56,5.72,5.75,3.53,2789
251,0.55,Ideal,G,IF,60.9,57,5.28,5.3,3.22,2789
252,0.81,Good,G,SI2,61,61,5.94,5.99,3.64,2789
253,0.63,Premium,E,VVS2,62.1,57,5.48,5.41,3.38,2789
254,0.63,Premium,E,VVS1,60.9,60,5.55,5.52,3.37,2789
255,0.77,Premium,H,VS1,61.3,60,5.9,5.88,3.61,2789
256,1.05,Fair,J,SI2,65.8,59,6.41,6.27,4.18,2789
257,0.64,Ideal,G,IF,61.3,56,5.54,5.58,3.41,2790
258,0.76,Premium,I,VVS1,58.8,59,6,5.94,3.51,2790
259,0.83,Ideal,F,SI2,62.3,55,6.02,6.05,3.76,2790
260,0.71,Premium,F,VS1,60.1,62,5.77,5.74,3.46,2790
261,0.71,Premium,F,VS1,61.8,59,5.73,5.69,3.53,2790
262,0.87,Very Good,I,SI1,63.6,55.8,6.07,6.1,3.87,2791
263,0.73,Ideal,E,SI1,62.2,56,5.74,5.78,3.58,2791
264,0.71,Premium,E,SI1,59.2,59,5.83,5.86,3.46,2792
265,0.71,Premium,E,SI1,61.8,59,5.7,5.75,3.54,2792
266,0.71,Ideal,E,SI1,61.3,55,5.72,5.77,3.52,2792
267,0.7,Premium,F,VS1,62.1,60,5.71,5.65,3.53,2792
268,0.7,Premium,F,VS1,60.7,60,5.78,5.75,3.5,2792
269,0.76,Premium,H,VVS2,59.6,57,5.91,5.86,3.51,2792
270,0.7,Ideal,F,VS1,62.2,56,5.73,5.68,3.55,2792
271,0.79,Very Good,G,SI1,60.6,57,5.98,6.06,3.65,2793
272,0.7,Very Good,E,VS2,62.9,57,5.66,5.69,3.57,2793
273,0.7,Good,E,VS2,64.1,55,5.6,5.66,3.61,2793
274,0.76,Ideal,I,VS2,61.3,56,5.87,5.91,3.61,2793
275,0.73,Ideal,H,VS2,62.7,55,5.72,5.76,3.6,2793
276,0.79,Very Good,E,SI1,63.2,56,5.91,5.86,3.72,2794
277,0.71,Very Good,E,VS2,60.7,56,5.81,5.82,3.53,2795
278,0.81,Premium,I,VVS2,61.9,60,5.91,5.86,3.64,2795
279,0.81,Ideal,F,SI2,62.6,55,5.92,5.96,3.72,2795
280,0.72,Good,F,VS1,60.7,60,5.74,5.72,3.48,2795
281,0.72,Premium,D,SI2,62,60,5.73,5.69,3.54,2795
282,0.72,Premium,I,IF,63,57,5.72,5.7,3.6,2795
283,0.81,Premium,H,VS2,58,59,6.17,6.13,3.57,2795
284,0.72,Premium,G,VS2,62.9,57,5.73,5.65,3.58,2795
285,1,Premium,I,SI2,58.2,60,6.61,6.55,3.83,2795
286,0.73,Good,E,SI1,63.2,58,5.7,5.76,3.62,2796
287,0.81,Very Good,H,SI2,61.3,59,5.94,6.01,3.66,2797
288,0.81,Very Good,E,SI1,60.3,60,6.07,6.1,3.67,2797
289,0.71,Premium,D,SI1,62.7,60,5.67,5.71,3.57,2797
290,0.71,Premium,D,SI1,61.3,58,5.73,5.75,3.52,2797
291,0.71,Premium,D,SI1,61.6,60,5.74,5.69,3.52,2797
292,0.57,Ideal,F,VVS2,61.9,55,5.34,5.35,3.31,2797
293,0.51,Ideal,D,VVS1,61.7,56,5.12,5.16,3.17,2797
294,0.72,Ideal,G,VS2,61.9,58,5.72,5.75,3.55,2797
295,0.74,Ideal,H,VS1,61.8,58,5.77,5.81,3.58,2797
296,0.74,Ideal,H,VS1,61.6,56,5.81,5.82,3.58,2797
297,0.7,Fair,G,VVS1,58.8,66,5.81,5.9,3.44,2797
298,0.8,Premium,F,SI2,61,57,6.03,6.01,3.67,2797
299,1.01,Fair,E,SI2,67.4,60,6.19,6.05,4.13,2797
300,0.8,Very Good,H,VS2,63.4,60,5.92,5.82,3.72,2797
301,0.77,Ideal,I,VS1,61.5,59,5.87,5.91,3.62,2798
302,0.83,Very Good,E,SI2,58,62,6.19,6.25,3.61,2799
303,0.82,Ideal,F,SI2,62.4,54,5.97,6.02,3.74,2799
304,0.78,Ideal,D,SI1,61.9,57,5.91,5.86,3.64,2799
305,0.6,Very Good,G,IF,61.6,56,5.43,5.46,3.35,2800
306,0.9,Good,I,SI2,62.2,59,6.07,6.11,3.79,2800
307,0.7,Premium,E,VS1,62.2,58,5.6,5.66,3.5,2800
308,0.9,Very Good,I,SI2,61.3,56,6.17,6.23,3.8,2800
309,0.83,Ideal,G,SI1,62.3,57,5.99,6.08,3.76,2800
310,0.83,Ideal,G,SI1,61.8,57,6.03,6.07,3.74,2800
311,0.83,Very Good,H,SI1,62.5,59,5.95,6.02,3.74,2800
312,0.74,Premium,G,VS1,62.9,60,5.74,5.68,3.59,2800
313,0.79,Ideal,I,VS1,61.8,59,5.92,5.95,3.67,2800
314,0.61,Ideal,G,IF,62.3,56,5.43,5.45,3.39,2800
315,0.76,Fair,G,VS1,59,70,5.89,5.8,3.46,2800
316,0.96,Ideal,F,I1,60.7,55,6.37,6.41,3.88,2801
317,0.73,Ideal,F,VS2,62.5,55,5.8,5.76,3.61,2801
318,0.73,Premium,F,VS2,62.7,58,5.76,5.7,3.59,2801
319,0.75,Ideal,H,SI1,60.4,57,5.93,5.96,3.59,2801
320,0.71,Premium,F,VS2,62.1,58,5.7,5.67,3.53,2801
321,0.71,Good,F,VS2,57.8,60,5.9,5.87,3.4,2801
322,0.71,Good,F,VS2,63.8,58,5.64,5.61,3.59,2801
323,0.71,Premium,F,VS2,62.8,57,5.69,5.64,3.56,2801
324,1.04,Premium,G,I1,62.2,58,6.46,6.41,4,2801
325,1,Premium,J,SI2,62.3,58,6.45,6.34,3.98,2801
326,0.87,Very Good,G,SI2,59.9,58,6.19,6.23,3.72,2802
327,0.53,Ideal,F,IF,61.9,54,5.22,5.25,3.24,2802
328,0.72,Premium,E,VS2,63,55,5.79,5.61,3.59,2802
329,0.72,Premium,F,VS1,62.4,58,5.83,5.7,3.6,2802
330,0.7,Very Good,F,VS2,62.9,58,5.63,5.65,3.55,2803
331,0.74,Very Good,E,SI1,63.5,56,5.74,5.79,3.66,2803
332,0.71,Ideal,G,VS2,61.3,56,5.75,5.71,3.51,2803
333,0.73,Ideal,E,SI1,60.6,54,5.84,5.89,3.55,2803
334,0.7,Good,G,VS1,65.1,58,5.56,5.59,3.63,2803
335,0.71,Premium,F,VS2,62.6,58,5.7,5.67,3.56,2803
336,0.71,Premium,F,VS2,58,62,5.85,5.81,3.38,2803
337,0.71,Premium,G,VS1,62.4,61,5.7,5.65,3.54,2803
338,0.77,Premium,G,VS2,61.3,57,5.93,5.88,3.62,2803
339,0.71,Premium,G,VS2,59.9,60,5.81,5.77,3.47,2803
340,0.78,Premium,G,VS2,60.8,58,6.03,5.95,3.64,2803
341,0.71,Very Good,G,VS1,63.5,55,5.66,5.64,3.59,2803
342,0.91,Ideal,D,SI2,62.2,57,6.21,6.15,3.85,2803
343,0.71,Very Good,E,VS2,63.8,58,5.62,5.66,3.6,2804
344,0.71,Very Good,E,VS2,64,57,5.66,5.68,3.63,2804
345,0.8,Very Good,E,SI2,62.5,56,5.88,5.96,3.7,2804
346,0.7,Very Good,D,SI1,62.3,58,5.69,5.73,3.56,2804
347,0.72,Ideal,F,VS1,61.7,57,5.74,5.77,3.55,2804
348,0.72,Very Good,F,VS1,62.2,58,5.75,5.7,3.56,2804
349,0.82,Ideal,H,VS2,61.5,56,6.01,6.08,3.72,2804
350,0.7,Ideal,D,SI1,61,59,5.68,5.7,3.47,2804
351,0.72,Ideal,D,SI1,62.2,56,5.74,5.77,3.58,2804
352,0.72,Ideal,D,SI1,61.5,54,5.77,5.8,3.56,2804
353,0.9,Fair,I,SI1,67.3,59,5.93,5.84,3.96,2804
354,0.74,Premium,F,VS2,61.7,58,5.85,5.78,3.59,2805
355,0.74,Premium,F,VS2,61.9,56,5.8,5.77,3.58,2805
356,0.73,Ideal,E,SI2,61.8,58,5.77,5.81,3.58,2805
357,0.57,Fair,E,VVS1,58.7,66,5.34,5.43,3.16,2805
358,0.73,Premium,F,VS2,62.5,57,5.75,5.7,3.58,2805
359,0.72,Ideal,G,VS2,62.8,56,5.74,5.7,3.59,2805
360,0.74,Fair,F,VS2,61.1,68,5.82,5.75,3.53,2805
361,0.82,Good,G,VS2,64,57,5.92,5.89,3.78,2805
362,0.81,Very Good,G,SI1,62.5,60,5.89,5.94,3.69,2806
363,0.75,Very Good,H,VVS1,60.6,58,5.85,5.9,3.56,2806
364,0.7,Ideal,F,SI1,61.6,55,5.72,5.74,3.53,2806
365,0.71,Very Good,F,VS1,62.2,58,5.66,5.72,3.54,2807
366,0.71,Very Good,F,VS1,60,57,5.84,5.9,3.52,2807
367,0.93,Premium,J,SI2,61.9,57,6.21,6.19,3.84,2807
368,0.8,Very Good,H,VS2,62.8,57,5.87,5.91,3.7,2808
369,0.7,Very Good,F,VS1,62,57,5.64,5.71,3.52,2808
370,1,Fair,G,I1,66.4,59,6.16,6.09,4.07,2808
371,0.75,Very Good,G,VS2,63.4,56,5.78,5.74,3.65,2808
372,0.58,Ideal,E,VVS2,60.9,56,5.41,5.43,3.3,2808
373,0.73,Very Good,D,SI1,63.1,57,5.74,5.7,3.61,2808
374,0.81,Very Good,F,SI1,63.1,59,5.85,5.79,3.67,2809
375,0.81,Premium,D,SI2,59.2,57,6.15,6.05,3.61,2809
376,0.71,Premium,F,SI1,60.7,54,5.84,5.8,3.53,2809
