@relation RentalCost
@attribute mean real
@attribute bonds real
@attribute Enrollment real
@attribute GDP real
@attribute Population real
@attribute HouseValue real
@attribute changing_cost real
@attribute riseOrNot {0,1}
@data 
238,22794,36129.15,4.385,?,443185,7,1
241,22956,36683.33333,4.489166667,?,440200,3,1
251,23230,36683.33333,4.489166667,?,440200,10,1
246,23541,36683.33333,4.489166667,?,440200,-5,0
244,23784,36683.33333,4.489166667,?,440200,-2,0
238,23881,36683.33333,4.489166667,?,440200,-6,0
224,24237,36683.33333,4.489166667,?,440200,-14,0
238,24409,36683.33333,4.489166667,?,440200,14,1
240,24550,36683.33333,4.489166667,?,440200,2,1
242,24678,36683.33333,4.489166667,?,440200,2,1
236,24737,36683.33333,4.489166667,?,440200,-6,0
244,24774,36683.33333,4.489166667,?,440200,8,1
240,24533,36683.33333,4.489166667,?,440200,-4,0
250,24519,37770.83333,5.5525,?,452792.8571,10,1
260,24913,37770.83333,5.5525,?,452792.8571,10,1
253,25154,37770.83333,5.5525,?,452792.8571,-7,0
227,25654,37770.83333,5.5525,?,452792.8571,-26,0
247,25865,37770.83333,5.5525,?,452792.8571,20,1
244,25909,37770.83333,5.5525,?,452792.8571,-3,0
248,25896,37770.83333,5.5525,?,452792.8571,4,1
245,25791,37770.83333,5.5525,?,452792.8571,-3,0
246,26067,37770.83333,5.5525,?,452792.8571,1,1
242,26085,37770.83333,5.5525,?,452792.8571,-4,0
253,25738,37770.83333,5.5525,?,452792.8571,11,1
251,25821,37770.83333,5.5525,?,452792.8571,-2,0
256,25690,37770.83333,7.354166667,?,456085.7143,5,1
270,26516,37770.83333,7.354166667,?,456085.7143,14,1
269,26673,37770.83333,7.354166667,?,456085.7143,-1,0
257,26848,37770.83333,7.354166667,?,456085.7143,-12,0
243,27384,37770.83333,7.354166667,?,456085.7143,-14,0
257,27319,37770.83333,7.354166667,?,456085.7143,14,1
257,27727,37770.83333,7.354166667,?,456085.7143,0,0
243,27979,37770.83333,7.354166667,?,456085.7143,-14,0
248,28157,37770.83333,7.354166667,?,456085.7143,5,1
263,28316,37770.83333,7.354166667,?,456085.7143,15,1
258,28137,37770.83333,7.354166667,?,456085.7143,-5,0
256,27929,37770.83333,7.354166667,?,456085.7143,-2,0
269,28091,37770.83333,8.658333333,?,459378.5714,13,1
286,28467,37770.83333,8.658333333,?,459378.5714,17,1
280,28872,37770.83333,8.658333333,?,459378.5714,-6,0
231,29410,37770.83333,8.658333333,?,459378.5714,-49,0
266,29576,37770.83333,8.658333333,?,459378.5714,35,1
264,29862,37770.83333,8.658333333,?,459378.5714,-2,0
267,29730,37770.83333,8.658333333,?,459378.5714,3,1
274,29889,37770.83333,8.658333333,?,459378.5714,7,1
268,30012,37770.83333,8.658333333,?,459378.5714,-6,0
269,30061,37770.83333,8.658333333,?,459378.5714,1,1
271,29955,37770.83333,8.658333333,?,459378.5714,2,1
270,29757,37770.83333,8.658333333,?,459378.5714,-1,0
280,29700,37770.83333,9.558333333,?,462671.4286,10,1
295,29821,37770.83333,9.558333333,?,462671.4286,15,1
291,30081,37770.83333,9.558333333,?,462671.4286,-4,0
278,30286,37770.83333,9.558333333,?,462671.4286,-13,0
240,30977,37770.83333,9.558333333,?,462671.4286,-38,0
277,31427,37770.83333,9.558333333,?,462671.4286,37,1
278,31267,37770.83333,9.558333333,?,462671.4286,1,1
276,31433,37770.83333,9.558333333,?,462671.4286,-2,0
279,31715,37770.83333,9.558333333,?,462671.4286,3,1
277,31800,37770.83333,9.558333333,?,462671.4286,-2,0
284,31253,37770.83333,9.558333333,?,462671.4286,7,1
280,31032,37770.83333,9.558333333,?,462671.4286,-4,0
293,31119,38858.33333,9.3,?,466300,13,1
319,31299,38858.33333,9.3,?,466300,26,1
306,31491,38858.33333,9.3,?,466300,-13,0
298,31735,38858.33333,9.3,?,466300,-8,0
294,31792,38858.33333,9.3,?,466300,-4,0
245,32733,38858.33333,9.3,?,466300,-49,0
290,32706,38858.33333,9.3,?,466300,45,1
295,32949,38858.33333,9.3,?,466300,5,1
305,32632,38858.33333,9.3,?,466300,10,1
296,32578,38858.33333,9.3,?,466300,-9,0
303,32671,38858.33333,9.3,?,466300,7,1
307,31698,38858.33333,9.3,?,466300,4,1
312,32073,39108.33333,11.44166667,?,469300,5,1
344,31877,39108.33333,11.44166667,?,469300,32,1
340,31920,39108.33333,11.44166667,?,469300,-4,0
319,32057,39108.33333,11.44166667,?,469300,-21,0
314,32200,39108.33333,11.44166667,?,469300,-5,0
324,32252,39108.33333,11.44166667,?,469300,10,1
317,33033,39108.33333,11.44166667,?,469300,-7,0
294,33540,39108.33333,11.44166667,?,469300,-23,0
317,33548,39108.33333,11.44166667,?,469300,23,1
321,33682,39108.33333,11.44166667,?,469300,4,1
338,33679,39108.33333,11.44166667,?,469300,17,1
338,33601,39108.33333,11.44166667,?,469300,0,0
341,33399,39316.66667,11.08333333,?,471800,3,1
375,33153,39316.66667,11.08333333,?,471800,34,1
364,33588,39316.66667,11.08333333,?,471800,-11,0
350,34123,39316.66667,11.08333333,?,471800,-14,0
295,34680,39316.66667,11.08333333,?,471800,-55,0
344,35067,39316.66667,11.08333333,?,471800,49,1
350,35143,39316.66667,11.08333333,?,471800,6,1
339,35227,39316.66667,11.08333333,?,471800,-11,0
336,35544,39316.66667,11.08333333,?,471800,-3,0
339,35681,39316.66667,11.08333333,?,471800,3,1
347,35660,39316.66667,11.08333333,?,471800,8,1
354,35542,39316.66667,11.08333333,?,471800,7,1
346,35379,39633.33333,10.10833333,?,475600,-8,0
364,35256,39633.33333,10.10833333,?,475600,18,1
362,36278,39633.33333,10.10833333,?,475600,-2,0
353,36454,39633.33333,10.10833333,?,475600,-9,0
367,37214,39633.33333,10.10833333,?,475600,14,1
347,37382,39633.33333,10.10833333,?,475600,-20,0
343,37440,39633.33333,10.10833333,?,475600,-4,0
335,37768,39633.33333,10.10833333,?,475600,-8,0
351,37645,39633.33333,10.10833333,?,475600,16,1
345,37725,39633.33333,10.10833333,?,475600,-6,0
348,37318,39633.33333,10.10833333,?,475600,3,1
361,37004,39633.33333,10.10833333,?,475600,13,1
363,36866,39950,12.21666667,?,479400,2,1
396,36301,39950,12.21666667,?,479400,33,1
362,37733,39950,12.21666667,?,479400,-34,0
375,37794,39950,12.21666667,?,479400,13,1
366,37901,39950,12.21666667,?,479400,-9,0
351,37977,39950,12.21666667,?,479400,-15,0
350,38022,39950,12.21666667,?,479400,-1,0
358,38419,39950,12.21666667,?,479400,8,1
355,38754,39950,12.21666667,?,479400,-3,0
348,38969,39950,12.21666667,?,479400,-7,0
374,39097,39950,12.21666667,?,479400,26,1
364,38641,39950,12.21666667,?,479400,-10,0
371,38521,40283.33333,14.04166667,?,483400,7,1
384,38520,40283.33333,14.04166667,?,483400,13,1
393,39286,40283.33333,14.04166667,?,483400,9,1
364,39424,40283.33333,14.04166667,?,483400,-29,0
361,39910,40283.33333,14.04166667,?,483400,-3,0
357,39990,40283.33333,14.04166667,?,483400,-4,0
345,40101,40283.33333,14.04166667,?,483400,-12,0
359,40697,40283.33333,14.04166667,?,483400,14,1
361,40903,40283.33333,14.04166667,?,483400,2,1
354,40967,40283.33333,14.04166667,?,483400,-7,0
361,40909,40283.33333,14.04166667,?,483400,7,1
373,40244,40283.33333,14.04166667,?,483400,12,1
378,40131,40425,14.68333333,?,485100,5,1
399,39755,40425,14.68333333,?,485100,21,1
395,40394,40425,14.68333333,?,485100,-4,0
383,41132,40425,14.68333333,?,485100,-12,0
375,41231,40425,14.68333333,?,485100,-8,0
359,41246,40425,14.68333333,?,485100,-16,0
353,41737,40425,14.68333333,?,485100,-6,0
361,42074,40425,14.68333333,?,485100,8,1
350,42091,40425,14.68333333,?,485100,-11,0
365,42219,40425,14.68333333,?,485100,15,1
365,42275,40425,14.68333333,?,485100,0,0
374,41556,40425,14.68333333,?,485100,9,1
386,41731,40558.33333,15.875,?,486700,12,1
398,41261,40558.33333,15.875,?,486700,12,1
406,41098,40558.33333,15.875,?,486700,8,1
393,41649,40558.33333,15.875,?,486700,-13,0
382,42291,40558.33333,15.875,?,486700,-11,0
374,42187,40558.33333,15.875,?,486700,-8,0
366,42474,40558.33333,15.875,?,486700,-8,0
371,42297,40558.33333,15.875,?,486700,5,1
367,42411,40558.33333,15.875,?,486700,-4,0
366,42504,40558.33333,15.875,?,486700,-1,0
368,42653,40558.33333,15.875,?,486700,2,1
377,42507,40558.33333,15.875,?,486700,9,1
401,42254,40950,16.725,534748,491400,24,1
422,41888,40950,16.725,534748,491400,21,1
415,42225,40950,16.725,534748,491400,-7,0
392,42345,40950,16.725,534748,491400,-23,0
392,42657,40950,16.725,534748,491400,0,0
384,42801,40950,16.725,534748,491400,-8,0
371,43090,40950,16.725,534748,491400,-13,0
375,43254,40950,16.725,534748,491400,4,1
375,43633,40950,16.725,534748,491400,0,0
377,43543,40950,16.725,534748,491400,2,1
374,43647,40950,16.725,534748,491400,-3,0
404,43279,40950,16.725,534748,491400,30,1
406,43324,41408.33333,14.63333333,543754,496900,2,1
420,42610,41408.33333,14.63333333,543754,496900,14,1
438,43411,41408.33333,14.63333333,543754,496900,18,1
410,43638,41408.33333,14.63333333,543754,496900,-28,0
389,43884,41408.33333,14.63333333,543754,496900,-21,0
405,44377,41408.33333,14.63333333,543754,496900,16,1
384,44502,41408.33333,14.63333333,543754,496900,-21,0
391,44679,41408.33333,14.63333333,543754,496900,7,1
379,44670,41408.33333,14.63333333,543754,496900,-12,0
376,44684,41408.33333,14.63333333,543754,496900,-3,0
399,44709,41408.33333,14.63333333,543754,496900,23,1
404,44354,41408.33333,14.63333333,543754,496900,5,1
409,44278,42075,15.41666667,579857,504900,5,1
450,43564,42075,15.41666667,579857,504900,41,1
448,44284,42075,15.41666667,579857,504900,-2,0
432,44532,42075,15.41666667,579857,504900,-16,0
411,45227,42075,15.41666667,579857,504900,-21,0
410,45211,42075,15.41666667,579857,504900,-1,0
407,45348,42075,15.41666667,579857,504900,-3,0
408,45560,42075,15.41666667,579857,504900,1,1
396,46161,42075,15.41666667,579857,504900,-12,0
405,46270,42075,15.41666667,579857,504900,9,1
417,46275,42075,15.41666667,579857,504900,12,1
454,45458,42075,15.41666667,579857,504900,37,1
439,45209,42825,15.41666667,702081,513900,-15,0
468,44652,42825,15.41666667,702081,513900,29,1
470,45145,42825,15.41666667,702081,513900,2,1
455,45331,42825,15.41666667,702081,513900,-15,0
436,45818,42825,15.41666667,702081,513900,-19,0
433,45890,42825,15.41666667,702081,513900,-3,0
429,45688,42825,15.41666667,702081,513900,-4,0
423,45807,42825,15.41666667,702081,513900,-6,0
430,45912,42825,15.41666667,702081,513900,7,1
431,46228,42825,15.41666667,702081,513900,1,1
440,45929,42825,15.41666667,702081,513900,9,1
482,45476,42825,15.41666667,702081,513900,42,1
473,45630,42825,15.41666667,764560,?,-9,0
516,45175,42825,15.41666667,764560,?,43,1
503,45731,42825,15.41666667,764560,?,-13,0
481,45839,42825,15.41666667,764560,?,-22,0
455,45760,42825,15.41666667,764560,?,-26,0
458,45976,42825,15.41666667,764560,?,3,1
453,46115,42825,15.41666667,764560,?,-5,0
