ID,NZDep2006,ch_asian,ch_euro,ch_maori,ch_melaa,ch_other,ch_pacific,m_age,m_asian,m_euro,m_maori,m_melaa,m_other,m_pacific,m_wklfs_code,d_age,d_asian,d_euro,d_maori,d_melaa,d_other,d_pacific,d_wklfs_code,bedroom_count_code,m_years_at_addr_code,m_tenure_holder_code,m_education,m_work_hours,m_smoke,m_income_srce7,m_income_srce8,m_income_srce9,m_income_srce10,m_income_srce11,m_income_srce12,d_years_at_addr_code,d_tenure_holder_code,d_education,d_work_hours,d_smoke,d_income_srce7,d_income_srce8,d_income_srce9,d_income_srce10,d_income_srce11,d_income_srce12,ch_sex,child_depend_family_type_code,d_family_role_code,heat_fuel,m_family_role_code,telecomm1_code,telecomm2_code,telecomm4_code,usual_resdnt_count_code,twin,singparstat,total_income_hhld_code
3965,10,0,0,0,0,0,1,36,1,0,0,0,0,1,4,39,0,0,0,0,0,1,1,3,8,2,2,0,3,0,0,0,0,0,0,6,2,4,40,3,0,0,0,0,0,0,2,21,1,1,1,1,2,99,4,1,1,?
3968,4,0,1,1,0,0,0,31,0,1,0,0,0,0,1,30,0,1,1,0,0,0,1,3,5,1,11,30,2,0,0,0,0,0,0,0,1,11,60,2,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,?
3969,4,0,1,0,0,0,0,28,0,1,0,0,0,0,2,25,0,1,0,0,0,0,1,3,5,1,8,10,2,0,0,0,0,0,0,5,1,8,70,2,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,?
3970,6,0,0,0,0,1,0,25,0,0,0,0,1,0,1,25,0,0,0,0,0,0,1,3,0,2,2,60,1,0,0,0,0,0,0,0,2,1,32,1,0,0,0,0,0,0,1,21,1,1,1,1,99,99,5,1,1,?
3971,1,0,1,0,0,0,0,43,0,1,0,0,0,0,1,45,0,1,0,0,0,0,1,4,7,1,10,40,3,0,0,0,0,0,0,1,1,11,31,2,0,0,0,0,0,0,1,21,1,1,1,1,2,4,6,1,1,?
3972,4,0,1,0,0,0,0,24,0,1,0,0,0,0,4,29,0,1,0,0,0,0,1,2,1,2,2,0,3,0,0,0,0,0,0,0,2,2,30,2,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,?
3973,9,0,0,0,1,0,0,34,0,0,0,1,1,0,4,39,0,0,0,1,1,0,4,3,2,2,0,0,3,0,0,0,0,0,0,1,2,4,0,3,0,0,0,0,0,0,1,31,1,1,1,99,2,99,5,1,2,?
3974,9,0,0,1,0,0,0,25,0,0,1,0,0,0,4,28,0,0,1,0,0,0,4,5,5,2,1,0,1,0,0,1,0,0,0,5,2,0,0,1,0,0,0,0,0,0,2,31,1,1,1,99,2,99,5,1,2,?
3975,10,0,0,1,0,0,0,35,0,0,1,0,0,0,4,36,0,0,1,0,0,0,4,3,2,2,0,0,3,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,1,99,99,5,1,2,?
3976,1,0,0,0,0,1,0,26,0,0,0,0,1,0,1,27,0,0,0,0,1,0,1,3,2,2,11,30,3,0,0,0,0,0,0,3,2,2,70,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,?
3977,2,0,0,0,0,1,0,33,0,1,0,0,0,0,4,27,0,0,0,0,1,0,1,3,2,2,4,0,3,0,0,0,0,0,0,2,2,11,40,3,0,0,0,0,0,0,2,21,1,1,1,1,2,99,3,1,1,?
3978,4,0,0,0,0,1,0,27,0,0,0,0,1,0,1,35,0,0,0,0,1,0,3,3,2,2,10,40,3,0,0,0,0,0,0,13,2,3,23,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,6,2,1,?
3980,3,0,1,0,0,0,0,35,1,1,0,0,0,0,4,39,0,1,0,0,0,0,1,3,0,2,4,0,3,0,0,0,0,0,0,0,2,8,40,3,0,0,0,0,0,0,1,21,1,1,1,1,2,99,4,1,1,?
3981,2,0,1,0,0,0,0,32,0,1,0,0,0,0,4,35,0,1,0,0,0,0,1,3,4,1,9,0,3,0,0,0,0,0,0,4,1,12,45,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,?
3982,7,0,1,1,0,0,1,31,0,1,1,0,0,0,4,26,0,0,0,0,0,1,1,3,4,2,3,0,2,0,0,0,0,0,0,0,2,11,45,3,0,0,0,0,0,0,2,21,1,1,1,99,2,4,4,1,1,?
3983,4,0,1,1,0,0,0,28,0,1,1,0,0,0,4,25,0,1,1,0,0,0,1,4,0,2,2,0,2,0,0,0,0,0,0,0,2,8,44,2,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,?
3984,3,0,1,0,0,0,0,30,0,1,0,0,0,0,4,37,0,1,0,0,0,0,1,3,0,1,2,0,3,0,0,0,0,0,0,0,1,8,40,3,0,0,0,0,0,0,2,21,1,1,1,99,2,4,3,1,1,?
3985,3,0,1,0,0,0,0,39,0,1,0,0,0,0,2,46,0,1,0,0,0,0,1,5,5,1,11,30,3,0,0,0,0,0,0,1,1,9,45,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,?
3986,8,0,1,1,0,0,0,24,0,1,1,0,0,0,4,29,0,1,0,0,0,0,4,3,1,2,3,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,1,99,99,2,1,2,?
3987,6,0,1,1,0,0,0,24,0,1,0,0,0,0,4,22,0,1,1,0,0,0,1,3,0,2,11,0,3,0,0,0,0,0,0,2,2,0,40,3,0,0,0,0,0,0,1,21,1,1,1,1,2,99,4,1,1,?
3988,6,0,1,1,0,0,0,21,0,1,0,0,0,0,2,23,0,1,1,0,0,0,1,3,0,2,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,21,1,1,1,99,2,99,3,1,1,?
3989,3,0,0,0,0,0,1,29,0,0,0,0,0,1,1,40,0,0,0,0,0,1,1,4,1,1,3,45,3,0,0,0,0,0,0,0,1,8,50,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,?
3990,10,0,1,1,0,0,0,32,0,1,1,0,0,0,3,32,0,1,1,0,0,0,4,3,0,2,7,0,1,0,0,0,0,0,0,2,2,7,0,1,0,0,0,0,0,0,2,31,1,1,1,1,2,99,3,1,2,?
3991,2,0,1,0,0,0,0,37,0,1,0,0,0,0,4,32,0,1,0,0,0,0,1,2,3,1,13,0,3,0,0,0,0,0,1,2,1,8,45,3,0,0,0,0,0,1,1,21,1,1,1,1,2,4,5,1,1,?
3992,3,0,1,0,0,0,0,36,0,1,0,0,0,0,2,39,0,1,0,0,0,0,1,3,8,1,11,12,3,0,0,0,0,0,0,9,1,11,40,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,?
3995,10,0,0,0,0,0,1,17,0,0,0,0,0,1,2,34,0,0,0,0,0,1,1,3,2,2,0,0,3,0,1,1,0,0,0,0,2,1,40,3,0,1,1,0,0,0,1,21,1,1,1,99,2,99,9,2,1,?
3997,7,0,0,0,0,0,0,29,0,1,0,0,0,0,4,31,0,1,0,0,0,0,1,2,0,2,3,0,2,0,0,0,0,0,0,0,1,2,59,2,0,0,0,0,0,0,1,21,1,1,1,1,99,4,4,1,1,?
3998,2,0,1,0,0,0,0,26,0,1,0,0,0,0,4,28,0,1,0,0,0,0,1,2,0,2,2,0,3,0,0,0,0,0,0,0,2,4,50,1,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,?
3999,4,0,1,0,0,0,0,29,0,1,0,0,0,0,1,32,0,1,0,0,0,0,1,3,3,1,11,30,3,0,0,0,0,0,0,2,1,10,50,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,?
4000,4,0,0,0,1,0,0,30,0,0,0,1,1,0,4,43,0,0,0,1,1,0,1,2,2,1,4,0,3,0,0,0,0,0,0,0,1,4,40,2,0,0,0,0,0,0,1,21,1,1,1,99,2,99,4,1,1,?
4002,1,1,0,0,0,0,0,22,1,0,0,0,0,0,4,29,1,0,0,0,0,0,2,4,3,2,0,0,3,0,0,0,0,0,0,5,1,0,40,3,0,0,0,0,0,0,2,21,1,0,1,1,2,99,5,1,1,?
4004,9,0,1,1,0,0,0,18,0,1,1,0,0,0,4,27,0,1,1,0,0,0,3,2,0,2,7,0,2,0,0,0,0,0,0,1,2,7,0,1,0,0,0,0,0,0,2,31,1,1,1,1,99,99,3,1,2,?
4005,4,0,1,0,0,0,0,33,0,1,0,0,0,0,4,35,0,1,0,0,0,0,1,3,0,2,11,0,3,0,0,0,0,0,0,0,2,11,43,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,?
4006,4,0,0,0,0,1,0,34,0,1,0,0,0,0,2,37,0,0,0,0,1,0,1,3,6,2,0,22,3,0,0,0,0,0,0,2,1,1,60,3,0,0,0,0,0,0,1,21,1,1,1,1,2,99,4,1,1,?
4007,10,0,0,1,0,0,0,26,0,0,1,0,0,0,4,24,0,1,1,0,0,0,1,3,0,2,6,0,1,0,0,1,0,0,0,0,2,10,58,3,0,0,1,0,0,0,1,21,1,1,1,99,99,99,7,1,1,?
4008,4,0,1,0,0,0,0,29,0,1,0,0,0,0,2,40,0,1,0,0,0,0,1,3,5,2,4,35,2,0,0,0,0,0,0,6,2,1,45,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,?
4009,1,0,1,0,0,0,0,33,0,1,0,0,0,0,2,41,0,1,0,0,0,0,1,4,5,1,9,25,3,0,0,0,0,0,0,7,1,4,40,2,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,?
4012,9,0,1,1,0,0,0,15,0,1,1,0,0,0,3,29,0,1,1,0,0,0,4,3,2,2,0,0,3,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,1,2,4,4,1,2,?
4013,2,0,0,0,0,1,0,31,0,1,0,0,0,0,1,38,0,1,0,0,1,0,1,3,4,1,11,40,3,0,0,0,0,0,0,2,1,11,40,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,?
4014,6,0,1,1,0,0,0,18,0,1,0,0,0,0,4,17,0,1,1,0,0,0,1,4,0,2,1,0,2,0,1,0,0,0,0,5,2,3,60,2,0,1,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,?
4016,2,0,1,0,0,0,0,38,0,1,0,0,0,0,2,39,0,1,0,0,0,0,1,4,7,1,9,16,2,0,0,0,0,0,0,7,1,11,48,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,?
4017,7,0,1,0,0,0,0,23,0,1,0,0,0,0,2,30,0,1,0,0,0,0,1,3,1,1,9,20,1,0,0,0,0,0,0,2,1,1,40,3,0,0,0,0,0,0,2,21,1,1,1,1,2,99,3,1,1,?
4019,5,0,1,0,0,0,0,27,1,1,0,0,0,0,4,32,0,1,0,0,0,0,1,3,0,2,2,0,3,0,0,0,0,0,0,6,2,2,50,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,?
4020,9,1,0,0,0,0,0,27,1,0,0,0,0,0,4,29,1,0,0,0,0,0,1,3,9,2,3,0,1,0,0,0,0,0,0,0,2,4,50,1,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,?
4021,2,0,1,1,0,0,0,29,0,1,1,0,0,0,2,35,0,1,0,0,0,0,1,3,2,1,12,0,2,0,0,0,0,0,0,2,1,8,40,1,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,?
4022,4,1,0,0,0,0,0,30,1,0,0,0,0,0,4,27,1,0,0,0,0,0,1,3,4,1,3,0,3,0,0,0,0,0,0,3,1,2,40,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,?
4023,7,0,1,0,0,0,0,34,0,1,0,0,0,0,4,32,0,1,0,0,0,0,1,2,1,1,3,0,3,0,0,0,0,0,0,1,1,11,45,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,?
4024,1,0,1,0,0,0,0,36,0,1,0,0,0,0,1,38,0,1,0,0,0,0,1,4,3,1,6,37,2,0,0,0,0,0,0,4,1,10,55,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,5,1,1,?
4025,8,0,1,0,0,1,0,36,0,1,0,0,1,0,4,38,0,0,0,0,1,0,1,4,2,1,10,0,3,0,0,0,0,0,0,3,1,9,50,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,?
4026,4,0,1,1,0,0,0,26,0,1,0,0,0,0,4,30,0,1,1,0,0,0,4,3,1,2,11,0,2,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,2,31,1,1,1,1,2,4,4,1,2,?
4027,1,0,1,0,0,0,0,38,0,1,0,0,0,0,4,38,0,1,0,0,0,0,1,3,1,1,11,0,3,0,0,0,0,0,0,1,1,10,46,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,5,1,1,?
4028,6,1,0,0,0,0,0,29,1,0,0,0,0,0,1,32,1,0,0,0,0,0,1,4,0,1,4,0,3,0,0,0,0,0,0,5,1,4,40,3,0,0,0,0,0,0,1,21,1,0,1,99,2,99,5,1,1,?
4029,4,0,1,0,0,0,0,31,0,1,0,0,0,0,4,33,0,1,0,0,0,0,4,5,1,2,0,0,3,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,1,2,99,4,1,2,?
4030,3,1,0,0,0,0,0,27,1,0,0,0,0,0,1,34,1,0,0,0,0,0,1,4,2,2,6,40,3,1,0,0,0,0,0,2,1,10,60,3,1,0,0,0,0,0,1,21,1,1,1,1,2,4,7,1,1,?
4032,10,0,0,1,0,0,1,31,0,0,0,0,0,1,4,22,0,0,1,0,0,0,3,5,0,2,10,0,2,0,0,0,0,0,0,1,2,3,0,3,0,0,0,0,0,0,1,21,1,1,1,99,2,4,7,1,1,?
4034,5,0,1,0,0,0,0,40,0,1,0,0,0,0,1,42,0,1,0,0,0,0,4,3,0,1,13,40,3,0,0,0,0,0,0,0,1,11,0,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,?
4035,2,0,1,0,0,0,0,31,0,1,0,0,0,0,1,36,0,1,0,0,0,0,1,3,1,1,11,50,3,0,0,0,0,0,0,5,1,0,38,2,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,?
4036,8,0,1,0,0,0,0,28,0,1,0,0,0,0,4,30,0,1,0,0,0,0,1,3,0,2,1,0,2,0,0,0,0,0,0,0,2,2,45,1,0,0,0,0,0,0,1,21,1,1,1,1,2,99,4,1,1,?
4037,6,0,1,0,0,0,0,32,0,1,0,0,0,0,4,35,0,1,0,0,0,0,2,4,0,1,3,0,3,0,0,0,0,0,0,2,1,9,0,3,0,0,0,0,0,0,2,31,1,1,1,1,2,4,5,1,2,?
4038,5,0,1,0,0,0,0,37,0,1,0,0,0,0,4,36,0,1,0,0,0,0,4,3,8,2,8,0,1,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,1,99,99,2,1,2,?
4040,6,0,0,0,0,1,0,34,0,1,0,0,1,0,4,34,0,0,0,0,1,0,1,3,6,1,7,0,2,0,0,0,0,0,0,6,1,1,40,1,0,0,0,0,0,0,1,21,1,1,1,1,2,99,4,1,1,?
4041,2,0,0,0,0,1,0,26,0,0,0,0,1,0,4,31,0,0,0,0,1,0,1,4,2,2,7,10,3,0,0,0,0,0,0,4,2,2,60,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,?
4042,3,0,1,1,0,0,0,33,0,1,1,0,0,0,4,36,0,0,0,0,1,0,1,3,2,1,1,0,3,0,0,0,0,0,0,3,1,13,48,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,?
4043,4,0,1,0,0,0,0,30,0,1,0,0,0,0,4,29,0,1,0,0,0,0,1,3,4,1,12,0,3,0,0,0,0,0,0,4,1,12,40,3,0,0,0,0,0,0,2,21,1,1,1,1,2,99,3,1,1,?
4044,4,0,1,0,0,0,0,24,0,1,0,0,0,0,4,26,0,1,0,0,0,0,1,2,0,2,2,0,3,0,0,0,0,0,0,0,2,2,40,2,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,?
4045,10,0,1,0,0,0,0,20,0,1,0,0,0,0,3,30,0,1,0,0,0,0,4,2,2,2,1,0,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,2,31,1,1,1,1,2,99,3,1,2,?
4046,8,0,1,0,0,0,0,31,0,1,0,0,0,0,2,32,0,0,0,0,1,0,1,3,2,2,0,15,1,0,0,0,0,0,0,5,2,0,40,1,0,0,0,0,0,0,2,21,1,1,1,1,2,99,5,1,1,?
4048,8,0,1,0,0,0,0,28,0,1,0,0,0,0,2,30,0,1,0,0,0,0,4,4,2,2,1,9,3,0,0,1,1,0,1,2,2,1,0,3,0,0,0,0,0,0,2,31,1,1,1,1,2,4,5,1,2,?
4049,6,0,1,0,0,0,0,28,0,1,0,0,0,0,1,32,0,1,0,0,0,0,1,3,1,1,9,10,3,0,0,0,0,0,0,3,1,8,40,3,0,0,0,0,0,0,2,21,1,1,1,99,2,4,3,1,1,?
4051,4,0,1,0,0,0,0,36,0,1,0,0,0,0,4,36,0,1,0,0,0,0,1,4,0,2,0,0,1,0,0,0,0,0,0,0,2,3,48,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,?
4052,10,0,0,0,0,0,0,25,0,0,0,0,0,1,1,33,0,0,0,0,0,1,4,5,7,2,7,48,1,0,0,0,0,0,0,6,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,1,2,99,10,1,2,?
4053,3,0,1,0,0,0,0,38,0,1,0,0,0,0,4,33,0,1,0,0,0,0,1,3,1,1,3,0,3,0,0,0,0,0,0,0,1,8,45,3,0,0,0,0,0,0,1,21,1,1,1,1,2,99,3,1,1,?
4054,10,0,0,1,0,0,0,22,0,0,1,0,0,0,2,30,0,0,1,0,0,0,1,2,0,2,0,11,3,0,0,0,0,0,0,0,2,1,56,1,0,0,0,0,0,0,2,21,1,1,1,1,2,99,3,1,1,?
4055,6,0,0,0,0,0,1,43,0,0,0,0,0,1,1,41,0,0,0,0,0,1,1,4,10,1,3,39,3,0,0,0,0,0,0,17,1,10,25,3,0,0,0,0,0,0,2,21,1,1,1,1,2,99,8,1,1,?
4056,10,0,0,1,0,0,0,26,0,1,1,0,0,0,1,25,0,1,0,0,0,0,1,3,0,2,8,0,1,0,0,0,0,0,0,2,2,0,48,1,0,0,0,0,0,0,1,21,1,1,1,1,99,99,5,1,1,?
4057,9,1,0,0,0,0,0,28,1,0,0,0,0,0,4,35,1,0,0,0,0,0,4,3,0,2,4,0,3,0,0,0,0,0,0,1,2,4,0,3,0,0,0,0,0,0,1,31,1,0,1,99,2,4,2,1,2,?
4058,8,0,0,1,0,0,0,22,0,1,0,0,0,0,2,36,0,0,1,0,0,0,1,3,0,2,0,34,3,0,0,0,0,0,0,1,2,2,50,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,?
4059,6,0,1,0,0,0,0,29,0,1,0,0,0,0,4,35,0,1,0,0,0,0,1,3,0,1,10,0,3,0,0,0,0,0,0,3,1,8,40,1,0,0,0,0,0,0,2,21,1,1,1,1,2,99,4,1,1,?
4060,9,0,1,1,0,0,0,32,0,1,1,0,0,0,4,31,0,1,0,0,0,0,1,4,0,1,0,0,2,0,0,0,0,0,0,2,1,1,42,1,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,?
4061,10,0,0,0,0,0,1,33,0,0,0,0,0,1,1,34,0,0,0,0,0,1,4,3,25,2,11,40,1,0,0,1,1,0,0,5,2,0,0,1,0,0,0,0,0,0,1,31,1,1,1,1,2,4,6,1,2,?
4062,7,0,0,0,0,0,1,24,0,0,0,0,0,1,1,33,0,0,0,0,0,1,3,2,0,2,4,20,2,0,0,0,0,0,0,2,2,4,0,3,0,0,0,0,0,0,1,31,1,1,1,1,2,99,2,1,2,?
4063,3,0,0,0,0,1,0,29,0,1,0,0,0,0,4,29,0,0,0,0,1,0,1,3,1,2,9,0,3,0,0,0,0,0,0,1,2,11,40,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,?
4064,2,0,1,1,0,0,0,37,0,1,1,0,0,0,4,33,0,1,1,0,0,0,1,2,2,2,2,30,2,0,0,0,0,0,0,0,2,8,50,2,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,?
4065,7,0,1,0,0,0,0,33,0,1,0,0,0,0,4,37,0,1,0,0,0,0,1,3,10,1,1,0,2,0,0,0,0,0,0,10,1,8,42,2,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,?
4066,8,0,0,0,0,1,0,28,0,0,0,0,1,0,4,35,0,1,0,0,0,0,1,3,5,1,11,20,3,0,0,0,0,0,0,5,1,10,40,3,0,0,0,0,0,0,1,21,1,1,1,1,2,99,3,1,1,?
4067,1,0,0,0,0,1,0,25,0,0,0,0,1,0,4,32,0,0,0,0,1,0,1,2,0,2,11,0,3,0,0,0,0,0,0,0,2,3,40,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,?
4068,5,0,1,0,0,0,0,29,0,1,0,0,0,0,4,37,0,1,0,0,0,0,1,2,0,1,12,1,3,0,0,0,0,0,0,0,1,11,40,3,0,0,0,0,0,0,2,21,1,1,1,99,2,99,4,1,1,?
4069,10,0,0,1,0,0,0,35,0,0,1,0,0,0,1,32,0,0,1,0,0,0,1,4,6,1,0,40,1,0,0,0,0,0,0,6,2,0,40,2,0,0,0,0,0,0,2,21,1,1,1,99,99,99,8,1,1,?
4070,1,0,0,0,0,1,0,33,0,0,0,0,1,0,2,32,0,0,0,0,1,0,1,4,2,1,11,10,2,0,0,0,0,0,0,2,1,3,45,2,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,?
4071,3,0,1,0,0,0,0,35,0,1,0,0,0,0,4,39,0,1,0,0,0,0,1,4,0,1,11,0,3,0,0,0,0,0,0,0,1,13,43,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,?
4073,2,0,1,0,0,0,0,30,0,1,0,0,0,0,4,32,0,1,0,0,0,0,1,3,3,1,3,0,2,0,0,0,0,0,0,0,1,8,40,2,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,?
4074,10,0,1,0,0,0,0,26,0,1,0,0,0,0,4,30,0,1,0,0,0,0,1,2,0,1,2,0,2,0,0,0,0,0,0,1,1,11,45,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,?
4075,1,0,1,0,0,0,0,29,0,1,0,0,0,0,4,28,0,1,0,0,0,0,1,3,4,1,13,0,3,0,0,0,0,0,0,5,1,10,38,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,?
4076,9,0,1,0,0,0,0,28,0,1,0,0,0,0,1,38,0,1,0,0,0,0,1,6,2,1,11,33,3,0,0,0,0,0,0,1,1,4,45,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,?
4077,5,0,1,0,0,0,0,33,0,1,0,0,0,0,4,33,0,1,0,0,0,0,1,3,5,1,9,0,3,0,0,0,0,0,0,7,1,11,40,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,?
4079,10,0,1,0,0,0,0,32,0,1,0,0,0,0,4,35,0,1,0,0,0,0,4,3,1,2,0,0,3,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,2,31,1,1,1,1,2,4,7,1,2,?
4080,8,0,1,1,0,0,0,20,0,1,0,0,0,0,1,24,0,0,1,0,0,0,1,2,1,2,0,0,2,0,0,0,0,0,0,2,2,1,40,1,0,0,0,0,0,0,2,21,1,1,1,1,2,99,3,1,1,?
4081,3,0,1,0,0,0,0,36,0,1,0,0,0,0,4,38,0,1,0,0,0,0,1,3,7,1,10,0,2,0,0,0,0,0,0,6,1,8,40,2,0,0,0,0,0,0,1,21,1,1,1,1,2,4,4,1,1,?
4082,2,0,1,0,0,0,0,39,0,1,0,0,0,0,4,37,0,1,0,0,0,0,1,5,0,1,6,0,3,0,0,0,0,0,0,0,1,4,45,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,?
4083,7,0,0,0,0,0,0,30,0,1,0,0,0,0,4,31,0,1,0,0,0,0,4,4,2,2,13,0,3,0,0,0,0,0,0,2,2,11,7,3,0,0,0,0,1,0,1,33,1,1,1,99,2,99,4,1,3,?
