"","random_ID","NZDep2006","ch_asian","ch_euro","ch_maori","ch_melaa","ch_other","ch_pacific","m_age","m_asian","m_euro","m_maori","m_melaa","m_other","m_pacific","m_wklfs_code","d_age","d_asian","d_euro","d_maori","d_melaa","d_other","d_pacific","d_wklfs_code","bedroom_count_code","m_years_at_addr_code","m_tenure_holder_code","m_education","m_work_hours","m_smoke","m_income_srce7","m_income_srce8","m_income_srce9","m_income_srce10","m_income_srce11","m_income_srce12","d_years_at_addr_code","d_tenure_holder_code","d_education","d_work_hours","d_smoke","d_income_srce7","d_income_srce8","d_income_srce9","d_income_srce10","d_income_srce11","d_income_srce12","ch_sex","child_depend_family_type_code","d_family_role_code","heat_fuel","m_family_role_code","telecomm1_code","telecomm2_code","telecomm4_code","usual_resdnt_count_code","twin","singparstat","total_income_hhld_code"
"11",14,"3","0","1","1","0","0","0",21,"0","1","1","0","0","0","4",21,"0","1","1","0","0","0","1",3,0,"2","0",0,"1","0","0","0","0","0","0",0,"2","6",42,"1","0","0","0","0","0","0","1","21","1","1","1","1","2","99","3",1,"1","12"
"12",15,"3","0","1","0","0","0","0",22,"0","1","0","0","0","0","4",33,"0","1","0","0","0","0","1",3,0,"2","11",0,"2","0","0","0","0","0","0",1,"2","1",50,"2","0","0","0","0","0","0","1","21","1","1","1","1","99","99","3",1,"1","10"
"13",16,"3","0","0","0","0","1","0",29,"0","0","0","0","1","0","2",31,"0","0","0","0","1","0","1",1,1,"1","11",1,"3","0","0","0","0","0","0",0,"1","11",46,"3","0","0","0","0","0","0","1","21","1","1","1","99","2","4","5",1,"1","11"
"14",17,"10","0","1","0","0","0","0",31.5883161680555,"0","1","0","0","0","0","4",34,"0","1","0","0","0","0","1",3,2.23347234490501,"1","8",0,"3","0","0","0","0","0","0",2,"1","1",40,"3","0","0","0","0","0","0","2","31","1","1","1","1","2","4","3",1,"3","12"
"15",18,"3","0","1","0","0","0","0",29,"0","1","0","0","0","0","4",27,"0","1","0","0","0","0","1",3,3,"1","9",0,"2","0","0","0","0","0","0",3,"1","11",50,"3","0","0","0","0","0","0","2","21","1","1","1","1","2","99","3",1,"1","14"
"16",19,"6","0","1","0","0","0","0",28,"0","1","0","0","0","0","2",29,"0","1","0","0","0","0","1",4,1,"1","3",16,"3","0","0","0","0","0","0",1,"1","13",40,"3","0","0","0","0","0","0","1","21","1","1","1","1","2","4","3",1,"1","12"
"17",20,"10","0","1","0","0","0","0",31,"0","1","0","0","0","0","4",30,"0","1","0","0","0","0","3",2,0,"2","12",0,"2","0","0","0","0","0","0",2,"2","3",20,"2","0","0","0","0","0","0","2","21","1","1","1","99","2","4","3",1,"1","10"
"18",21,"4","0","1","0","0","0","0",30,"0","1","0","0","0","0","2",30,"0","1","0","0","0","0","1",4,1,"1","2",0,"3","0","0","0","0","0","0",6,"1","8",48.3287063492063,"2","0","0","0","0","0","0","1","21","1","1","1","1","2","4","5",1,"1","13"
"19",22,"10","0","0","1","0","0","0",36,"0","1","1","0","0","0","1",49,"0","0","1","0","0","0","4",3,3,"2","0",0,"1","0","0","0","0","0","0",2.22663888888889,"2","11",0,"1","0","0","0","0","0","0","1","21","1","1","1","99","99","99","3",1,"1","14"
"20",23,"5","1","0","0","0","0","0",30,"1","0","0","0","0","0","4",36,"1","0","0","0","0","0","1",5,2,"2","4",0,"3","0","0","0","0","0","0",2,"2","4",40,"3","0","0","0","0","0","0","1","21","1","1","1","1","2","4","8",1,"1","13"
"21",24,"2","0","1","0","0","0","0",38,"0","1","0","0","0","0","4",36,"0","1","0","0","0","0","1",3,0,"1","12",0,"3","0","0","0","0","0","0",0,"1","4",40,"1","0","0","0","0","0","0","1","21","1","1","1","1","2","4","4",1,"1","7"
"22",25,"7","0","0","1","0","1","0",29,"0","1","0","0","0","0","2",33,"0","1","0","0","0","0","1",4,5,"1","11",33,"3","0","0","0","0","0","0",2,"1","9",41,"2","0","0","0","0","0","0","1","21","1","1","1","1","2","4","3",1,"1","12"
"23",27,"6","0","1","1","0","0","0",30,"0","1","1","0","0","0","4",34.7483333333333,"0","1","1","0","0","0","4",5,0,"2","0",0,"1","0","0","0","0","0","0",1.37719401444788,"2","0",0,"1","0","0","0","0","0","0","1","31","1","1","1","1","2","4","7",1,"2","14"
"24",28,"2","0","0","0","0","1","0",35,"0","0","0","0","1","0","2",33,"0","0","0","0","1","0","1",4,2,"1","8",16.9936473214286,"3","0","0","0","0","0","0",2,"1","10",45.5533766788767,"3","0","0","0","0","0","0","1","21","1","1","1","1","2","4","4",1,"1","13"
"25",29,"6","0","1","1","0","0","0",34,"0","1","0","0","0","0","1",38,"0","1","1","0","0","0","1",3,5,"1","2",20,"2","0","0","0","0","0","0",5,"1","1",70,"1","0","0","0","0","0","0","2","21","1","1","1","1","2","4","3",1,"1","12"
"26",30,"1","0","1","0","0","0","0",34,"0","1","0","0","0","0","4",39,"0","1","0","0","0","0","1",4,2,"1","11",0,"3","0","0","0","0","0","0",2,"1","11",40,"3","0","0","0","0","0","0","2","21","1","1","1","1","2","4","4",1,"1","14"
"27",31,"4","0","1","0","0","0","0",30,"0","1","0","0","0","0","2",37,"0","1","0","0","0","0","1",4,5,"2","1",16.0187242063492,"3","0","0","0","0","0","0",7,"2","0",70,"3","0","0","0","0","0","0","1","21","1","1","1","1","2","4","6",1,"1","14"
"28",33,"2","1","1","0","0","0","0",37,"0","1","0","0","0","0","4",39,"1","0","0","0","0","0","1",3,1,"1","11",10,"3","0","0","0","0","0","0",1,"1","13",40,"2","0","0","0","0","0","0","2","21","1","1","1","1","2","4","3",1,"1","14"
"29",34,"10","0","0","0","1","0","0",23,"0","0","0","0","1","0","1",22,"0","0","0","1","1","0","1",3,3,"2","11",35,"3","0","0","0","0","0","0",3,"2","8",45,"3","0","0","0","0","0","0","1","21","1","1","1","99","99","99","3",1,"1","14"
"30",35,"9","0","0","1","0","0","0",30,"0","0","1","0","0","0","4",35,"0","0","1","0","0","0","1",4,3,"2","2",0,"1","0","0","0","0","0","0",10,"2","1",40,"1","0","0","0","0","0","0","2","21","1","1","1","1","2","4","5",1,"1","10"
"31",36,"6","0","1","0","0","1","0",32,"0","0","0","0","1","0","4",39,"0","1","0","0","1","0","1",4,3,"1","8",6,"3","0","0","0","0","0","1",3,"2","8",40,"3","0","0","0","0","0","1","1","21","1","1","1","1","2","4","5",1,"1","14"
"32",37,"6","0","1","1","0","0","0",36,"0","1","0","0","0","0","4",33,"0","0","1","0","0","0","1",2,6,"2","0",3,"1","0","0","0","0","0","0",4,"2","1",40,"1","0","0","0","0","0","0","1","21","1","1","1","1","2","4","4",1,"1","9"
"33",39,"6","0","1","0","0","0","0",30,"0","1","0","0","0","0","4",32,"0","1","0","0","0","0","1",3,1,"1","2",0,"1","0","0","0","0","0","0",1,"1","1",50,"1","0","0","0","0","0","0","1","21","1","1","1","1","2","4","3",1,"1","13"
"34",41,"6","1","0","0","0","0","0",31,"1","0","0","0","0","0","1",34,"1","0","0","0","0","0","1",3,2,"1","11",40,"3","0","0","0","0","0","0",2,"1","13",40,"2","0","0","0","0","0","0","1","21","1","1","1","1","2","4","4",1,"1","13"
"35",42,"1","0","1","0","0","0","0",34,"0","1","0","0","0","0","4",36,"0","1","0","0","0","0","1",3,0,"2","1",0,"2","0","0","0","0","0","0",0,"2","11",45,"3","0","0","0","0","0","0","2","21","1","1","1","1","2","4","3",1,"1","14"
"36",43,"3","0","1","0","0","0","0",21,"0","1","0","0","0","0","4",27.0162095636674,"0","1","0","0","0","0","4",3,0,"2","2",0,"3","0","0","1","0","0","1",1.79284848484848,"2","0",0,"1","0","0","0","0","0","0","1","31","1","1","1","1","99","99","3",1,"2","8"
"37",44,"10","0","0","1","0","0","0",30.6746666666667,"0","0","1","0","0","0","4",36,"0","0","1","0","0","0","1",3,1.15747252747253,"2","0",0,"1","0","0","0","0","0","0",0,"2","0",40,"3","0","0","0","0","0","0","1","31","1","1","1","1","2","99","3",1,"3","11"
"38",46,"9","1","0","0","0","0","0",35,"1","0","0","0","0","0","4",33,"1","0","0","0","0","0","1",3,3,"2","11",0,"3","0","0","0","0","0","0",3,"2","11",43,"3","0","0","0","0","0","0","2","21","1","1","1","1","2","4","5",1,"1","12"
"39",47,"6","0","1","0","0","0","0",27,"0","1","0","0","0","0","1",26,"0","1","1","0","0","0","1",3,2,"1","9",42,"3","0","0","0","0","0","0",2.13301430595548,"1","2",40,"2","0","0","0","0","0","0","1","21","1","1","1","1","2","99","3",1,"1","12"
"40",48,"7","0","1","0","0","0","0",18,"0","1","0","0","0","0","2",25,"0","1","0","0","0","0","1",4,0,"2","2",40,"1","0","0","0","0","0","0",1,"2","1",75,"3","0","0","0","0","0","0","2","21","1","1","1","1","99","99","3",1,"1","10"
"41",49,"8","0","0","0","0","1","0",25,"0","1","0","0","0","0","1",33,"0","1","0","0","0","0","1",3,2,"1","7",27.7682121212121,"3","0","0","0","0","0","0",2,"1","11",50,"2","0","0","0","0","0","0","1","21","1","1","1","1","2","99","3",1,"1","14"
"42",50,"9","0","1","1","0","0","0",31,"0","1","1","0","0","0","4",37,"0","1","0","0","0","0","1",4,2,"2","1",0,"1","0","0","0","0","0","0",5,"1","8",40,"1","0","0","0","0","0","0","1","21","1","1","1","99","2","99","4",1,"1","11"
"43",52,"4","0","1","0","0","0","0",22,"0","1","0","0","0","0","2",28,"0","1","0","0","0","0","4",2.91316666666667,0,"1","2",11.0628571428571,"3","0","0","0","0","0","0",0,"1","1",0,"3","0","0","0","0","0","0","1","21","1","1","1","99","99","99","3",1,"1","7"
"44",55,"1","0","0","0","0","0","0",36,"0","1","0","0","0","0","2",39,"0","1","0","0","0","0","1",4,3.87127677482612,"2","8",10,"2","0","0","0","0","0","0",9,"1","0",0,"1","0","0","0","0","0","0","1","21","1","1","1","1","2","99","4",1,"1","12"
"45",57,"8","0","0","1","0","0","0",31,"0","0","1","0","0","0","4",31,"0","0","1","0","0","0","1",3,0,"1","2",0,"2","0","0","0","0","0","0",0,"1","3",40,"1","0","0","0","0","0","0","2","21","1","1","1","1","2","4","5",1,"1","10"
"46",58,"5","0","1","1","0","1","0",35,"0","1","1","0","1","0","2",39,"0","1","0","0","1","0","1",3,3,"1","1",10,"2","0","0","0","0","0","0",2,"1","0",60,"1","0","0","0","0","0","0","1","21","1","1","1","1","2","4","3",1,"1","13"
"47",59,"10","0","0","1","0","0","0",18,"0","0","1","0","0","0","4",18,"0","0","1","0","0","0","4",2,0,"2","1",0,"1","0","0","0","0","0","0",0,"2","0",0,"1","0","0","0","0","0","0","1","21","1","0","1","1","99","99","3",1,"1","3"
"48",60,"5","0","0","1","0","0","0",28,"0","0","1","0","0","0","4",29,"0","0","1","0","0","0","4",3,3.5092380952381,"1","0",0,"2","0","0","0","0","0","0",4,"1","0",0,"2","0","0","0","0","0","0","2","21","1","1","1","1","99","99","6",1,"1","9"
"49",61,"7","0","1","0","0","0","0",36,"0","1","0","0","0","0","4",36,"0","1","0","0","0","0","1",3,4,"1","2",0,"3","0","0","0","0","0","0",4,"1","1",45,"3","0","0","0","0","0","0","2","21","1","1","1","1","2","4","4",1,"1","13"
"50",62,"8","0","1","1","0","0","0",31,"0","1","0","0","0","0","1",29,"0","1","1","0","0","0","1",3,2,"2","10",0,"3","0","0","0","0","0","0",0,"2","1",45,"3","0","0","0","0","0","0","2","21","1","1","1","1","2","4","4",1,"1","14"
"51",67,"3","0","1","0","0","0","0",37,"0","1","0","0","0","0","1",40,"0","1","0","0","0","0","1",4,2,"1","11",30,"3","0","0","0","0","0","0",2,"1","12",100,"3","0","0","0","0","0","0","2","21","1","1","1","1","2","4","4",1,"1","13"
"52",68,"10","0","0","0","0","0","1",31,"1","0","0","0","0","1","1",33,"0","0","0","0","0","1","1",3,0,"1","9",38,"3","0","0","0","0","0","0",7,"2","4",44.8313131816027,"3","0","0","0","0","0","0","2","21","1","1","1","1","2","4","5",1,"1","13"
"53",69,"3","0","1","1","0","0","0",36,"0","1","0","0","0","0","4",40,"0","0","1","0","0","0","1",5,2,"1","1",0,"2","0","0","0","0","0","0",2,"1","0",60,"2","0","0","0","0","0","0","2","21","1","1","1","1","2","4","5",1,"1","14"
"54",71,"10","0","0","1","0","0","0",18,"0","0","1","0","0","0","3",30.5564186909582,"0","0","1","0","0","0","4",4,6,"1","0",0,"1","1","1","0","0","0","0",7.42983333333333,"2","0",0,"1","0","0","0","0","0","0","1","31","1","1","1","99","99","99","8",1,"2","3"
"55",72,"4","0","1","1","0","1","0",34,"0","1","1","0","1","0","4",40,"0","1","0","0","0","0","1",2,3,"1","0",0,"2","0","0","0","0","0","0",3,"1","1",47,"1","0","0","0","0","0","0","2","21","1","1","1","1","2","4","3",1,"1","13"
"56",73,"2","0","1","0","0","0","0",37,"0","1","0","0","0","0","2",38,"0","1","0","0","0","0","1",3,2,"1","11",8,"2","0","0","0","0","0","0",3,"1","12",50,"3","0","0","0","0","0","0","1","21","1","1","1","1","2","4","4",1,"1","13"
"57",75,"9","0","0","0","0","0","0",23,"0","0","1","0","0","0","4",31.8627738095238,"0","0","1","0","0","0","4",3,6.89795987345987,"2","0",0,"1","0","0","0","0","0","0",6.496,"2","0",0,"1","0","0","0","0","0","0","2","31","1","1","1","1","99","99","5",1,"2","6"
"58",76,"10","0","0","0","0","0","1",40,"0","0","0","0","0","1","4",36,"0","0","1","0","0","0","4",3,0,"2","11",0,"1","0","0","0","0","0","0",0,"2","0",0,"1","0","0","0","0","0","0","1","21","1","1","1","1","99","99","6",1,"1","9"
"59",78,"1","0","1","0","0","0","0",37.0663029650138,"0","1","0","0","0","0","4",44,"0","1","0","0","0","0","2",5,2.42574912128335,"1","12",0,"3","0","0","0","0","0","0",2,"1","11",40,"3","0","0","0","0","0","0","1","33","1","1","1","1","2","4","4",1,"3","13"
"60",79,"6","0","1","0","0","0","0",25,"0","1","0","0","0","0","4",23,"0","1","0","0","0","0","1",3,0,"2","0",0,"2","0","0","0","0","0","0",0.746666666666667,"2","0",43.8594536977184,"1","0","0","0","0","0","0","2","21","1","1","1","1","2","99","4",1,"1","11"
"61",80,"4","1","0","0","0","0","0",29,"1","0","0","0","0","0","4",33,"1","0","0","0","0","0","1",5,2,"2","10",0,"3","0","0","0","0","0","0",2,"2","11",38,"3","0","0","0","0","0","0","2","21","1","1","1","1","2","4","5",1,"1","13"
"62",81,"10","0","0","0","0","0","1",18,"0","0","0","0","0","1","4",29.9586666666667,"0","0","0","0","0","1","3",4,22,"2","0",0,"1","0","0","1","0","0","0",4.76333333333333,"2","5",0,"3","0","0","0","0","0","0","1","31","1","0","1","99","2","4","6",1,"2","14"
"63",82,"10","0","0","1","0","0","0",33,"0","0","1","0","0","0","2",52,"0","0","1","0","0","0","1",3,0,"2","7",26,"1","0","0","0","0","0","0",1,"2","0",50,"1","0","0","0","0","0","0","2","21","1","1","1","1","99","99","4",1,"1","12"
"64",83,"1","0","0","0","0","0","0",39,"0","1","0","0","0","0","4",34,"0","1","0","0","0","0","1",3,0,"1","11",0,"3","0","0","0","0","0","0",2,"1","13",40,"3","0","0","0","0","0","0","1","21","1","1","1","1","2","4","4",1,"1","14"
"65",86,"3","0","1","0","0","0","0",34,"0","1","0","0","0","0","1",36,"0","1","0","0","0","0","1",4,1,"1","4",40,"3","0","0","0","0","0","0",0,"1","11",40,"1","0","0","0","0","0","0","1","21","1","1","1","1","2","4","3",1,"1","13"
"66",87,"3","0","1","0","0","0","0",32,"0","1","0","0","0","0","2",34,"0","1","0","0","0","0","1",4,5,"1","3",0,"3","0","0","0","0","0","0",4,"1","8",50,"3","0","0","0","0","0","0","2","21","1","1","1","99","2","4","4",1,"1","14"
"67",88,"7","0","1","0","0","0","0",30,"0","1","0","0","0","0","2",29,"0","1","0","0","0","0","1",3,6,"1","0",0,"1","0","0","0","0","0","0",4,"1","8",45,"1","0","0","0","0","0","0","2","21","1","1","1","99","2","99","5",1,"1","12"
"68",89,"3","0","0","0","0","1","0",40,"0","1","0","0","0","0","2",38.4990548165285,"0","1","0","0","0","0","1",3,1,"1","11",10.4137784090909,"3","0","0","0","0","0","0",2.02394736842105,"1","13",0,"3","0","0","0","0","0","0","1","31","1","1","1","99","2","4","3",1,"2","14"
"69",92,"3","0","1","0","0","0","0",36,"0","1","0","0","0","0","2",37,"0","1","0","0","0","0","1",3,2,"1","11",14,"3","0","0","0","0","0","0",0,"1","13",45,"3","0","0","0","0","0","0","1","21","1","1","1","1","2","4","4",1,"1","14"
"70",93,"6","0","1","0","0","0","0",31,"0","0","0","0","0","0","4",34,"0","1","0","0","0","0","1",3,0,"2","4",0,"3","0","0","0","0","0","0",2,"2","11",40,"3","0","0","0","0","0","0","1","21","1","1","1","1","2","4","4",1,"1","12"
"71",94,"5","0","1","0","0","0","0",33,"0","1","0","0","0","0","2",37,"0","1","0","0","0","0","1",3,7,"1","0",10,"2","0","0","0","0","0","0",3,"1","8",55,"2","0","0","0","0","0","0","1","21","1","1","1","1","2","4","4",1,"1","13"
"72",95,"2","0","1","0","0","0","0",34,"0","1","0","0","0","0","2",41,"0","1","0","0","0","0","1",3,0,"1","11",20,"3","0","0","0","0","0","0",1,"1","13",40,"3","0","0","0","0","0","0","1","21","1","1","1","1","2","4","4",1,"1","13"
"73",96,"5","0","1","0","0","0","0",30,"0","1","0","0","0","0","3",32,"0","1","0","0","0","0","4",3,3,"2","8",0,"1","0","0","0","0","0","0",3,"2","9",27,"1","0","0","0","0","0","0","1","21","1","1","1","1","2","99","4",1,"1","13"
"74",97,"1","0","1","0","0","0","0",36,"0","1","0","0","0","0","1",39,"0","1","0","0","0","0","1",3,14,"1","0",58,"3","0","0","0","0","0","0",13,"1","2",40,"3","0","0","0","0","0","0","1","21","1","1","1","1","2","4","5",1,"1","11"
"75",98,"10","0","0","1","0","0","0",31,"0","0","1","0","0","0","4",34.5515,"0","0","1","0","0","0","4",3,2,"2","0",0,"2","0","0","1","0","0","0",1.57483333333333,"2","0",0,"1","0","0","0","0","0","0","2","33","1","1","1","1","99","99","6",1,"2","11"
"76",99,"5","1","0","0","0","0","0",34,"1","0","0","0","0","0","2",36,"1","0","0","0","0","0","1",3,2,"2","11",25,"3","0","0","0","0","0","1",2,"2","9",50,"1","0","0","0","0","0","1","1","21","1","1","1","1","2","4","5",1,"1","14"
"77",100,"10","0","0","0","0","0","1",32,"0","0","0","0","0","1","4",34.485,"0","0","0","0","0","1","4",3,4,"2","1",0,"2","1","0","1","0","1","0",3.705,"2","0",0,"1","0","0","0","0","0","0","2","31","1","1","1","1","2","4","4",1,"2","13"
"78",101,"2","0","1","0","0","0","0",27,"0","1","0","0","0","0","1",35,"0","1","0","0","0","0","1",3,2,"1","2",40,"3","0","0","0","0","0","0",2,"1","1",38,"3","0","0","0","0","0","0","2","21","1","1","1","1","2","4","3",1,"1","14"
"79",103,"3","0","1","0","0","0","0",32,"0","1","0","0","0","0","4",32,"0","1","0","0","0","0","1",3,5,"1","2",0,"3","0","0","0","0","0","0",8,"1","1",40,"3","0","0","0","0","0","0","1","21","1","1","1","1","2","4","4",1,"1","13"
"80",104,"6","0","1","0","0","0","0",26,"0","1","0","0","0","0","4",25,"0","1","0","0","0","0","1",3,2,"1","11",0,"3","0","0","0","0","0","0",2,"1","11",50,"3","0","0","0","0","0","0","2","21","1","1","1","1","2","4","3",1,"1","12"
"81",105,"8","0","0","0","0","0","0",28,"0","1","0","0","0","0","4",31,"0","1","1","0","0","0","1",3,2,"2","0",0,"2","0","0","0","0","0","0",2,"2","0",0,"2","0","0","0","0","0","0","1","21","1","1","1","1","2","99","4",2,"1","12"
"82",106,"5","0","1","0","0","0","0",30.6941015766734,"0","1","0","0","0","0","4",32,"0","1","0","0","0","0","1",2,2.10422086247086,"1","13",0,"2","0","0","0","0","0","0",3,"1","8",0,"2","0","0","0","0","0","0","1","31","1","1","1","1","2","4","2",1,"3","2"
"83",108,"2","0","1","0","0","0","0",36,"0","1","0","0","0","0","1",33,"0","1","0","0","0","0","1",4,1,"1","13",21.3766898555384,"2","0","0","0","0","0","0",1,"1","11",50,"3","0","0","0","0","0","0","2","21","1","1","1","1","2","4","4",1,"1","14"
"84",110,"9","0","1","0","0","0","0",34,"0","1","0","0","0","0","4",32,"0","1","0","0","0","0","1",3,0,"2","1",0,"1","0","0","0","0","0","0",2,"2","7",45,"1","0","0","0","0","0","0","1","21","1","1","1","1","2","99","4",1,"1","10"
"85",112,"2","0","1","0","0","0","0",40,"0","1","0","0","0","0","2",40,"0","1","0","0","0","0","1",3,11,"1","14",12,"3","0","0","0","0","0","0",7,"1","8",57,"3","0","0","0","0","0","0","2","21","1","1","1","1","2","4","3",1,"1","12"
"86",113,"3","0","1","0","0","0","0",24,"0","1","0","0","0","0","2",28,"0","1","0","0","0","0","1",3,0,"2","1",40,"3","0","0","0","0","0","0",0,"2","7",60,"3","0","0","0","0","0","0","2","21","1","1","1","1","2","4","4",2,"1","12"
"87",115,"4","0","1","0","0","0","0",32,"0","1","0","0","0","0","4",32,"0","0","0","0","1","0","1",3,1,"2","1",0,"3","0","0","0","0","0","0",3,"2","4",40,"3","0","0","0","0","0","0","2","21","1","1","1","1","2","4","5",1,"1","11"
"88",117,"6","0","1","0","0","0","0",32,"0","1","0","0","0","0","1",32,"0","1","0","0","0","0","1",3,1,"1","3",40,"3","0","0","0","0","0","0",2,"1","4",55,"2","0","0","0","0","0","0","1","21","1","1","1","99","2","4","3",1,"1","14"
"89",118,"2","1","1","0","0","0","1",28,"0","1","0","0","0","1","4",26,"1","1","0","0","0","0","1",3,1,"1","11",0,"3","0","0","0","0","0","0",1,"1","8",48,"3","0","0","0","0","0","0","1","21","1","1","1","1","2","4","3",1,"1","13"
"90",120,"5","0","1","0","0","0","1",37,"0","0","0","0","0","1","4",28,"0","1","0","0","0","0","1",5,0,"1","2",0,"3","0","0","0","0","0","0",0,"1","11",44,"3","0","0","0","0","0","0","1","21","1","1","1","1","2","4","6",1,"1","14"
"91",122,"7","0","1","0","0","0","0",36,"0","1","0","0","0","0","2",32,"0","1","0","0","0","0","1",5,2,"1","13",0,"2","0","0","0","0","0","0",0,"1","6",44,"2","0","0","0","0","0","0","2","21","1","1","1","1","2","4","7",1,"1","13"
"92",123,"7","0","1","0","0","0","0",31,"0","1","0","0","0","0","4",31,"0","1","0","0","0","0","1",3,0,"2","0",0,"1","0","0","0","0","0","0",0,"2","0",42.3778091133005,"1","0","0","0","0","0","0","1","21","1","1","1","99","2","99","4",1,"1","8"
"93",125,"4","0","1","0","0","0","0",29,"0","1","0","0","0","0","4",29,"0","1","0","0","0","0","1",3,0,"2","2",0,"3","0","0","0","0","0","0",0,"2","7",56,"3","0","0","0","0","0","0","2","21","1","1","1","1","2","4","6",1,"1","14"
"94",126,"10","0","0","1","0","0","1",34,"0","0","1","0","0","0","4",34,"0","0","1","0","0","1","3",2,1,"2","6",0,"1","0","0","0","0","0","0",2.84571428571429,"2","0",0,"2","0","0","0","0","0","0","2","21","1","1","1","1","99","99","4",1,"1","7"
"95",127,"1","0","1","0","0","0","0",37,"0","1","0","0","0","0","1",47,"0","1","0","0","0","0","2",4,3,"1","11",40,"3","0","0","0","0","0","0",3,"1","8",0,"3","0","0","0","0","0","0","2","21","1","1","1","1","2","4","3",1,"1","13"
"96",128,"6","0","1","0","0","0","0",35,"0","1","0","0","0","0","1",34,"0","1","0","0","0","0","1",2,1,"2","11",32,"2","0","0","0","0","0","0",1,"2","4",70,"2","0","0","0","0","0","0","2","21","1","1","1","99","2","4","3",1,"1","12"
"97",129,"4","0","0","0","0","1","0",22,"0","0","0","0","1","0","1",32,"0","0","0","0","1","0","1",4,0,"2","10",43,"3","0","0","0","0","0","0",2,"2","10",37,"3","0","0","0","0","0","0","1","21","1","1","1","1","2","4","3",1,"1","11"
"98",130,"8","0","0","0","0","1","0",22,"0","0","0","0","1","0","1",25,"0","1","0","0","0","0","1",3,0,"2","2",33,"1","0","0","0","0","0","0",0,"2","1",40,"1","0","0","0","0","0","0","2","21","1","1","1","1","99","99","3",1,"1","10"
"99",131,"10","0","0","0","0","0","1",21,"0","0","0","0","0","1","4",27.7326666666667,"0","0","0","0","0","1","4",3,4,"2","1",0,"2","0","1","1","0","0","0",2.68,"2","0",0,"1","0","0","0","0","0","0","1","31","1","1","1","99","2","99","6",1,"2","11"
