description,industry,level,size,linecode,value
Business performance from workplace safety - don't know,total,0,6?9 employees,LC0602_04,1374
Business performance from workplace safety- not applicable,total,0,6?9 employees,LC0602_05,1386
Business performance from environmental regulation - constrained,total,0,6?9 employees,LC0603_01,3396
Business performance from environmental regulation - neither constrained nor enhanced,total,0,6?9 employees,LC0603_02,14799
Business performance from environmental regulation - enhanced,total,0,6?9 employees,LC0603_03,2469
Business performance from environmental regulation - don't know,total,0,6?9 employees,LC0603_04,3468
Business performance from environmental regulation- not applicable,total,0,6?9 employees,LC0603_05,4533
Business performance from business and trade laws - constrained,total,0,6?9 employees,LC0604_01,1932
Business performance from business and trade laws - neither constrained nor enhanced,total,0,6?9 employees,LC0604_02,16737
Business performance from business and trade laws - enhanced,total,0,6?9 employees,LC0604_03,1386
Business performance from business and trade laws - don't know,total,0,6?9 employees,LC0604_04,4680
Business performance from business and trade laws- not applicable,total,0,6?9 employees,LC0604_05,3942
Business performance from product standards and product safety regulation - constrained,total,0,6?9 employees,LC0605_01,2670
Business performance from product standards and product safety regulation - neither constrained nor enhanced,total,0,6?9 employees,LC0605_02,14646
Business performance from product standards and product safety regulation - enhanced,total,0,6?9 employees,LC0605_03,3468
Business performance from product standards and product safety regulation - don't know,total,0,6?9 employees,LC0605_04,2976
Business performance from product standards and product safety regulation- not applicable,total,0,6?9 employees,LC0605_05,4890
Business performance from border regulation - constrained,total,0,6?9 employees,LC0606_01,1023
Business performance from border regulation - neither constrained nor enhanced,total,0,6?9 employees,LC0606_02,10299
Business performance from border regulation - enhanced,total,0,6?9 employees,LC0606_03,786
Business performance from border regulation - don't know,total,0,6?9 employees,LC0606_04,3249
Business performance from border regulation- not applicable,total,0,6?9 employees,LC0606_05,13314
Business performance from other industry specific regulation - constrained,total,0,6?9 employees,LC0607_01,2328
Business performance from other industry specific regulation - neither constrained nor enhanced,total,0,6?9 employees,LC0607_02,10644
Business performance from other industry specific regulation - enhanced,total,0,6?9 employees,LC0607_03,1020
Business performance from other industry specific regulation - don't know,total,0,6?9 employees,LC0607_04,5298
Business performance from other industry specific regulation- not applicable,total,0,6?9 employees,LC0607_05,9360
Regulation on business' ability to innovate - constrained,total,0,6?9 employees,LC0701_01,2379
Regulation on business' ability to innovate - neither constrained nor enhanced,total,0,6?9 employees,LC0701_02,12894
Regulation on business' ability to innovate - enhanced,total,0,6?9 employees,LC0701_03,1107
Regulation on business' ability to innovate - don't know,total,0,6?9 employees,LC0701_04,3849
Regulation on business' ability to innovate - not applicable,total,0,6?9 employees,LC0701_05,8421
Regulation on business' ability to export - constrained,total,0,6?9 employees,LC0702_01,594
Regulation on business' ability to export - neither constrained nor enhanced,total,0,6?9 employees,LC0702_02,6807
Regulation on business' ability to export - enhanced,total,0,6?9 employees,LC0702_03,342
Regulation on business' ability to export - don't know,total,0,6?9 employees,LC0702_04,2637
Regulation on business' ability to export - not applicable,total,0,6?9 employees,LC0702_05,18270
Regulatory requirements: business spent significant time and resource finding out about what is required,total,0,6?9 employees,LC0801,13476
Regulatory requirements: business spent significant time and resource adjusting the business to regulatory changes,total,0,6?9 employees,LC0802,11232
Regulatory requirements: business spent significant time and resource providing the required information to government,total,0,6?9 employees,LC0803,5931
Regulatory requirements: business spent significant time and resource applying for consents and approvals,total,0,6?9 employees,LC0804,5703
Regulatory requirements: business spent significant time and resource on dispute resolution process,total,0,6?9 employees,LC0805,1404
"Regulatory requirements: business spent significant time and resource complying with monitoring, audits, and inspections",total,0,6?9 employees,LC0806,11166
Regulatory requirements: business spent significant time and resource on none of the above,total,0,6?9 employees,LC0807,8859
Business spent significant time and resource on employment regulation,total,0,6?9 employees,LC0901,9882
Business spent significant time and resource on workplace safety,total,0,6?9 employees,LC0902,19212
Business spent significant time and resource on environmental regulation,total,0,6?9 employees,LC0903,4461
Business spent significant time and resource on business and trade laws,total,0,6?9 employees,LC0904,3030
Business spent significant time and resource on product standards and product safety regulation,total,0,6?9 employees,LC0905,5595
Business spent significant time and resource on border regulation,total,0,6?9 employees,LC0906,1251
Business spent significant time and resource on other industry specific regulation,total,0,6?9 employees,LC0907,3990
Business spent significant time and resource on none of the above,total,0,6?9 employees,LC0908,6069
Meeting regulatory requirements for employment regulation - greater flexibility,total,0,6?9 employees,LC1001_01,7686
Meeting regulatory requirements for employment regulation- neutral,total,0,6?9 employees,LC1001_02,12762
Meeting regulatory requirements for employment regulation - greater certainty,total,0,6?9 employees,LC1001_03,3501
Meeting regulatory requirements for employment regulation - don't know,total,0,6?9 employees,LC1001_04,2856
Meeting regulatory requirements for employment regulation - not applicable,total,0,6?9 employees,LC1001_05,1842
Meeting regulatory requirements for workplace safety - greater flexibility,total,0,6?9 employees,LC1002_01,7680
Meeting regulatory requirements for workplace safety- neutral,total,0,6?9 employees,LC1002_02,10992
Meeting regulatory requirements for workplace safety - greater certainty,total,0,6?9 employees,LC1002_03,6384
Meeting regulatory requirements for workplace safety - don't know,total,0,6?9 employees,LC1002_04,2244
Meeting regulatory requirements for workplace safety- not applicable,total,0,6?9 employees,LC1002_05,1347
Meeting regulatory requirements for environmental regulation - greater flexibility,total,0,6?9 employees,LC1003_01,3207
Meeting regulatory requirements for environmental regulation- neutral,total,0,6?9 employees,LC1003_02,13218
Meeting regulatory requirements for environmental regulation - greater certainty,total,0,6?9 employees,LC1003_03,2865
Meeting regulatory requirements for environmental regulation - don't know,total,0,6?9 employees,LC1003_04,4104
Meeting regulatory requirements for environmental regulation- not applicable,total,0,6?9 employees,LC1003_05,5286
Meeting regulatory requirements for business and trade laws - greater flexibility,total,0,6?9 employees,LC1004_01,2859
Meeting regulatory requirements for business and trade laws- neutral,total,0,6?9 employees,LC1004_02,13932
Meeting regulatory requirements for business and trade laws - greater certainty,total,0,6?9 employees,LC1004_03,2268
Meeting regulatory requirements for business and trade laws - don't know,total,0,6?9 employees,LC1004_04,5034
Meeting regulatory requirements for business and trade laws- not applicable,total,0,6?9 employees,LC1004_05,4554
Meeting regulatory requirements for product standards and product safety regulation - greater flexibility,total,0,6?9 employees,LC1005_01,2673
Meeting regulatory requirements for product standards and product safety regulation- neutral,total,0,6?9 employees,LC1005_02,12519
Meeting regulatory requirements for product standards and product safety regulation - greater certainty,total,0,6?9 employees,LC1005_03,3879
Meeting regulatory requirements for product standards and product safety regulation - don't know,total,0,6?9 employees,LC1005_04,3735
Meeting regulatory requirements for product standards and product safety regulation- not applicable,total,0,6?9 employees,LC1005_05,5856
Meeting regulatory requirements for border regulation - greater flexibility,total,0,6?9 employees,LC1006_01,1038
Meeting regulatory requirements for border regulation- neutral,total,0,6?9 employees,LC1006_02,7836
Meeting regulatory requirements for border regulation - greater certainty,total,0,6?9 employees,LC1006_03,1404
Meeting regulatory requirements for border regulation - don't know,total,0,6?9 employees,LC1006_04,3453
Meeting regulatory requirements for border regulation- not applicable,total,0,6?9 employees,LC1006_05,14916
Meeting regulatory requirements for other industry specific regulation - greater flexibility,total,0,6?9 employees,LC1007_01,2082
Meeting regulatory requirements for other industry specific regulation- neutral,total,0,6?9 employees,LC1007_02,9120
Meeting regulatory requirements for other industry specific regulation - greater certainty,total,0,6?9 employees,LC1007_03,2088
Meeting regulatory requirements for other industry specific regulation- don't know,total,0,6?9 employees,LC1007_04,5628
Meeting regulatory requirements for other industry specific regulation- not applicable,total,0,6?9 employees,LC1007_05,9726
Reason for using external source for advice on regulation compliance: requirement by regulation,total,0,6?9 employees,LC1101,5580
Reason for using external source for advice on regulation compliance: more cost effective,total,0,6?9 employees,LC1102,4404
Reason for using external source for advice on regulation compliance: faster,total,0,6?9 employees,LC1103,5166
Reason for using external source for advice on regulation compliance: no internal resource available,total,0,6?9 employees,LC1104,6339
Reason for using external source for advice on regulation compliance: unreliable or inconsistent advice from other sources,total,0,6?9 employees,LC1105,2283
Reason for using external source for advice on regulation compliance: lack of clarity around legal requirements,total,0,6?9 employees,LC1106,6927
Reason for using external source for advice on regulation compliance: need for assurance,total,0,6?9 employees,LC1107,9468
Reason for using external source for advice on regulation compliance: independent advice need for compliance,total,0,6?9 employees,LC1108,6129
Reason for using external source for advice on regulation compliance: concern about penalties for non-compliance,total,0,6?9 employees,LC1109,7314
Reason for using external source for advice on regulation compliance: other,total,0,6?9 employees,LC1110,774
Reason for using external source for advice on regulation compliance: no external source(s) was used,total,0,6?9 employees,LC1111,9585
Planning/regulatory process applied for consent or approval: Resource Management Act,total,0,6?9 employees,LC1201,3264
Planning/regulatory process applied for consent or approval: Building Act,total,0,6?9 employees,LC1202,4554
Planning/regulatory process applied for consent or approval: Conservation Act,total,0,6?9 employees,LC1203,375
Planning/regulatory process applied for consent or approval: none of these,total,0,6?9 employees,LC1204,19728
Planning/regulatory process applied for consent or approval: don't know,total,0,6?9 employees,LC1205,2940
Effect of regulation on business performance: a significant negative impact,total,0,6?9 employees,LC1300_01,1506
Effect of regulation on business performance: a moderate negative impact,total,0,6?9 employees,LC1300_02,7254
Effect of regulation on business performance: no impact,total,0,6?9 employees,LC1300_03,10851
Effect of regulation on business performance: a moderate positive impact,total,0,6?9 employees,LC1300_04,3795
Effect of regulation on business performance: a significant positive impact,total,0,6?9 employees,LC1300_05,459
Effect of regulation on business performance: don't know,total,0,6?9 employees,LC1300_06,4785
Business regulatory compliance costs: decreased significantly,total,0,6?9 employees,LC1400_01,12
Business regulatory compliance costs: decreased moderately,total,0,6?9 employees,LC1400_02,240
Business regulatory compliance costs: stayed the same,total,0,6?9 employees,LC1400_03,8805
Business regulatory compliance costs: increased moderately,total,0,6?9 employees,LC1400_04,9903
Business regulatory compliance costs: increased significantly,total,0,6?9 employees,LC1400_05,3738
Business regulatory compliance costs: don't know,total,0,6?9 employees,LC1400_06,5949
Reason for increase in compliance costs: introduction of new regulation,total,0,6?9 employees,LC1501,8418
Reason for increase in compliance costs: increased complexity of existing regulation,total,0,6?9 employees,LC1502,6915
Reason for increase in compliance costs: improved compliance with regulation,total,0,6?9 employees,LC1503,5076
Reason for increase in compliance costs: expansion of business operations,total,0,6?9 employees,LC1504,1371
Reason for increase in compliance costs: other,total,0,6?9 employees,LC1505,567
Reason for increase in compliance costs: don't know,total,0,6?9 employees,LC1506,1773
Business spent significant time and resource on supplier factors,total,0,20?9 employees,LC0301,2913
Business spent significant time and resource on labour factors,total,0,20?9 employees,LC0302,5172
Business spent significant time and resource on technological / equipment factors,total,0,20?9 employees,LC0303,2559
Business spent significant time and resource on financing factors,total,0,20?9 employees,LC0304,1455
Business spent significant time and resource on customer related factors,total,0,20?9 employees,LC0305,3861
Business spent significant time and resource on competition factors,total,0,20?9 employees,LC0306,1197
Business spent significant time and resource on regulatory factors,total,0,20?9 employees,LC0307,3300
Business spent significant time and resource on infrastructure factors,total,0,20?9 employees,LC0308,1227
Business spent significant time and resource on none of the above,total,0,20?9 employees,LC0309,549
"Business responded to regulation: introduced new products, processes or services",total,0,20?9 employees,LC0401,1626
"Business responded to regulation: improved existing products, processes or services",total,0,20?9 employees,LC0402,2847
"Business responded to regulation: changed materials, equipment or work practices",total,0,20?9 employees,LC0403,2169
Business responded to regulation: increased the use of outsourced services,total,0,20?9 employees,LC0404,822
Business responded to regulation: raised the skill level or employees,total,0,20?9 employees,LC0405,3858
Business responded to regulation: none of the above,total,0,20?9 employees,LC0406,1881
Business effects from regulation: increased customer confidence,total,0,20?9 employees,LC0501,1158
Business effects from regulation: increased efficiency in running the business,total,0,20?9 employees,LC0502,1098
Business effects from regulation: increased employee productivity,total,0,20?9 employees,LC0503,684
Business effects from regulation: provided new market opportunities,total,0,20?9 employees,LC0504,642
Business effects from regulation: created a level playing field in this business's industry,total,0,20?9 employees,LC0505,405
Business effects from regulation: increased competition,total,0,20?9 employees,LC0506,837
Business effects from regulation: none of the above,total,0,20?9 employees,LC0507,4653
Business performance from employment regulation - constrained,total,0,20?9 employees,LC0601_01,1344
Business performance from employment regulation - neither constrained nor enhanced,total,0,20?9 employees,LC0601_02,4194
Business performance from employment regulation - enhanced,total,0,20?9 employees,LC0601_03,621
Business performance from employment regulation - don't know,total,0,20?9 employees,LC0601_04,570
Business performance from employment regulation - not applicable,total,0,20?9 employees,LC0601_05,357
Business performance from workplace safety - constrained,total,0,20?9 employees,LC0602_01,1926
Business performance from workplace safety - neither constrained nor enhanced,total,0,20?9 employees,LC0602_02,2799
Business performance from workplace safety - enhanced,total,0,20?9 employees,LC0602_03,1983
Business performance from workplace safety - don't know,total,0,20?9 employees,LC0602_04,231
Business performance from workplace safety- not applicable,total,0,20?9 employees,LC0602_05,147
Business performance from environmental regulation - constrained,total,0,20?9 employees,LC0603_01,786
Business performance from environmental regulation - neither constrained nor enhanced,total,0,20?9 employees,LC0603_02,4179
Business performance from environmental regulation - enhanced,total,0,20?9 employees,LC0603_03,564
Business performance from environmental regulation - don't know,total,0,20?9 employees,LC0603_04,696
Business performance from environmental regulation- not applicable,total,0,20?9 employees,LC0603_05,867
Business performance from business and trade laws - constrained,total,0,20?9 employees,LC0604_01,492
Business performance from business and trade laws - neither constrained nor enhanced,total,0,20?9 employees,LC0604_02,4629
Business performance from business and trade laws - enhanced,total,0,20?9 employees,LC0604_03,375
Business performance from business and trade laws - don't know,total,0,20?9 employees,LC0604_04,861
Business performance from business and trade laws- not applicable,total,0,20?9 employees,LC0604_05,729
Business performance from product standards and product safety regulation - constrained,total,0,20?9 employees,LC0605_01,507
Business performance from product standards and product safety regulation - neither constrained nor enhanced,total,0,20?9 employees,LC0605_02,4020
Business performance from product standards and product safety regulation - enhanced,total,0,20?9 employees,LC0605_03,915
Business performance from product standards and product safety regulation - don't know,total,0,20?9 employees,LC0605_04,558
Business performance from product standards and product safety regulation- not applicable,total,0,20?9 employees,LC0605_05,1089
Business performance from border regulation - constrained,total,0,20?9 employees,LC0606_01,444
Business performance from border regulation - neither constrained nor enhanced,total,0,20?9 employees,LC0606_02,2865
Business performance from border regulation - enhanced,total,0,20?9 employees,LC0606_03,270
Business performance from border regulation - don't know,total,0,20?9 employees,LC0606_04,645
Business performance from border regulation- not applicable,total,0,20?9 employees,LC0606_05,2862
Business performance from other industry specific regulation - constrained,total,0,20?9 employees,LC0607_01,567
Business performance from other industry specific regulation - neither constrained nor enhanced,total,0,20?9 employees,LC0607_02,3003
Business performance from other industry specific regulation - enhanced,total,0,20?9 employees,LC0607_03,306
Business performance from other industry specific regulation - don't know,total,0,20?9 employees,LC0607_04,1203
Business performance from other industry specific regulation- not applicable,total,0,20?9 employees,LC0607_05,2007
Regulation on business' ability to innovate - constrained,total,0,20?9 employees,LC0701_01,423
Regulation on business' ability to innovate - neither constrained nor enhanced,total,0,20?9 employees,LC0701_02,4122
Regulation on business' ability to innovate - enhanced,total,0,20?9 employees,LC0701_03,282
Regulation on business' ability to innovate - don't know,total,0,20?9 employees,LC0701_04,639
Regulation on business' ability to innovate - not applicable,total,0,20?9 employees,LC0701_05,1623
Regulation on business' ability to export - constrained,total,0,20?9 employees,LC0702_01,108
Regulation on business' ability to export - neither constrained nor enhanced,total,0,20?9 employees,LC0702_02,2235
Regulation on business' ability to export - enhanced,total,0,20?9 employees,LC0702_03,126
Regulation on business' ability to export - don't know,total,0,20?9 employees,LC0702_04,390
Regulation on business' ability to export - not applicable,total,0,20?9 employees,LC0702_05,4236
Regulatory requirements: business spent significant time and resource finding out about what is required,total,0,20?9 employees,LC0801,3366
Regulatory requirements: business spent significant time and resource adjusting the business to regulatory changes,total,0,20?9 employees,LC0802,3189
Regulatory requirements: business spent significant time and resource providing the required information to government,total,0,20?9 employees,LC0803,1860
Regulatory requirements: business spent significant time and resource applying for consents and approvals,total,0,20?9 employees,LC0804,1557
Regulatory requirements: business spent significant time and resource on dispute resolution process,total,0,20?9 employees,LC0805,561
"Regulatory requirements: business spent significant time and resource complying with monitoring, audits, and inspections",total,0,20?9 employees,LC0806,3237
Regulatory requirements: business spent significant time and resource on none of the above,total,0,20?9 employees,LC0807,1614
Business spent significant time and resource on employment regulation,total,0,20?9 employees,LC0901,3219
Business spent significant time and resource on workplace safety,total,0,20?9 employees,LC0902,5448
Business spent significant time and resource on environmental regulation,total,0,20?9 employees,LC0903,1287
Business spent significant time and resource on business and trade laws,total,0,20?9 employees,LC0904,753
Business spent significant time and resource on product standards and product safety regulation,total,0,20?9 employees,LC0905,1491
Business spent significant time and resource on border regulation,total,0,20?9 employees,LC0906,345
Business spent significant time and resource on other industry specific regulation,total,0,20?9 employees,LC0907,1230
Business spent significant time and resource on none of the above,total,0,20?9 employees,LC0908,924
Meeting regulatory requirements for employment regulation - greater flexibility,total,0,20?9 employees,LC1001_01,2004
Meeting regulatory requirements for employment regulation- neutral,total,0,20?9 employees,LC1001_02,3252
Meeting regulatory requirements for employment regulation - greater certainty,total,0,20?9 employees,LC1001_03,1107
Meeting regulatory requirements for employment regulation - don't know,total,0,20?9 employees,LC1001_04,486
Meeting regulatory requirements for employment regulation - not applicable,total,0,20?9 employees,LC1001_05,243
Meeting regulatory requirements for workplace safety - greater flexibility,total,0,20?9 employees,LC1002_01,1872
Meeting regulatory requirements for workplace safety- neutral,total,0,20?9 employees,LC1002_02,2823
Meeting regulatory requirements for workplace safety - greater certainty,total,0,20?9 employees,LC1002_03,1845
Meeting regulatory requirements for workplace safety - don't know,total,0,20?9 employees,LC1002_04,342
Meeting regulatory requirements for workplace safety- not applicable,total,0,20?9 employees,LC1002_05,207
Meeting regulatory requirements for environmental regulation - greater flexibility,total,0,20?9 employees,LC1003_01,702
Meeting regulatory requirements for environmental regulation- neutral,total,0,20?9 employees,LC1003_02,3675
Meeting regulatory requirements for environmental regulation - greater certainty,total,0,20?9 employees,LC1003_03,843
Meeting regulatory requirements for environmental regulation - don't know,total,0,20?9 employees,LC1003_04,786
Meeting regulatory requirements for environmental regulation- not applicable,total,0,20?9 employees,LC1003_05,1086
Meeting regulatory requirements for business and trade laws - greater flexibility,total,0,20?9 employees,LC1004_01,663
Meeting regulatory requirements for business and trade laws- neutral,total,0,20?9 employees,LC1004_02,3912
Meeting regulatory requirements for business and trade laws - greater certainty,total,0,20?9 employees,LC1004_03,744
Meeting regulatory requirements for business and trade laws - don't know,total,0,20?9 employees,LC1004_04,861
Meeting regulatory requirements for business and trade laws- not applicable,total,0,20?9 employees,LC1004_05,918
Meeting regulatory requirements for product standards and product safety regulation - greater flexibility,total,0,20?9 employees,LC1005_01,483
Meeting regulatory requirements for product standards and product safety regulation- neutral,total,0,20?9 employees,LC1005_02,3570
Meeting regulatory requirements for product standards and product safety regulation - greater certainty,total,0,20?9 employees,LC1005_03,909
Meeting regulatory requirements for product standards and product safety regulation - don't know,total,0,20?9 employees,LC1005_04,600
Meeting regulatory requirements for product standards and product safety regulation- not applicable,total,0,20?9 employees,LC1005_05,1527
Meeting regulatory requirements for border regulation - greater flexibility,total,0,20?9 employees,LC1006_01,375
Meeting regulatory requirements for border regulation- neutral,total,0,20?9 employees,LC1006_02,2286
Meeting regulatory requirements for border regulation - greater certainty,total,0,20?9 employees,LC1006_03,378
Meeting regulatory requirements for border regulation - don't know,total,0,20?9 employees,LC1006_04,675
Meeting regulatory requirements for border regulation- not applicable,total,0,20?9 employees,LC1006_05,3378
Meeting regulatory requirements for other industry specific regulation - greater flexibility,total,0,20?9 employees,LC1007_01,534
Meeting regulatory requirements for other industry specific regulation- neutral,total,0,20?9 employees,LC1007_02,2682
Meeting regulatory requirements for other industry specific regulation - greater certainty,total,0,20?9 employees,LC1007_03,543
Meeting regulatory requirements for other industry specific regulation- don't know,total,0,20?9 employees,LC1007_04,1143
Meeting regulatory requirements for other industry specific regulation- not applicable,total,0,20?9 employees,LC1007_05,2187
Reason for using external source for advice on regulation compliance: requirement by regulation,total,0,20?9 employees,LC1101,1410
Reason for using external source for advice on regulation compliance: more cost effective,total,0,20?9 employees,LC1102,1251
Reason for using external source for advice on regulation compliance: faster,total,0,20?9 employees,LC1103,1314
Reason for using external source for advice on regulation compliance: no internal resource available,total,0,20?9 employees,LC1104,2091
Reason for using external source for advice on regulation compliance: unreliable or inconsistent advice from other sources,total,0,20?9 employees,LC1105,714
Reason for using external source for advice on regulation compliance: lack of clarity around legal requirements,total,0,20?9 employees,LC1106,1905
Reason for using external source for advice on regulation compliance: need for assurance,total,0,20?9 employees,LC1107,2652
Reason for using external source for advice on regulation compliance: independent advice need for compliance,total,0,20?9 employees,LC1108,1956
Reason for using external source for advice on regulation compliance: concern about penalties for non-compliance,total,0,20?9 employees,LC1109,1851
Reason for using external source for advice on regulation compliance: other,total,0,20?9 employees,LC1110,84
Reason for using external source for advice on regulation compliance: no external source(s) was used,total,0,20?9 employees,LC1111,1998
Planning/regulatory process applied for consent or approval: Resource Management Act,total,0,20?9 employees,LC1201,1032
Planning/regulatory process applied for consent or approval: Building Act,total,0,20?9 employees,LC1202,1446
Planning/regulatory process applied for consent or approval: Conservation Act,total,0,20?9 employees,LC1203,90
Planning/regulatory process applied for consent or approval: none of these,total,0,20?9 employees,LC1204,4779
Planning/regulatory process applied for consent or approval: don't know,total,0,20?9 employees,LC1205,540
Effect of regulation on business performance: a significant negative impact,total,0,20?9 employees,LC1300_01,375
Effect of regulation on business performance: a moderate negative impact,total,0,20?9 employees,LC1300_02,1977
Effect of regulation on business performance: no impact,total,0,20?9 employees,LC1300_03,2484
Effect of regulation on business performance: a moderate positive impact,total,0,20?9 employees,LC1300_04,1179
Effect of regulation on business performance: a significant positive impact,total,0,20?9 employees,LC1300_05,69
Effect of regulation on business performance: don't know,total,0,20?9 employees,LC1300_06,1002
Business regulatory compliance costs: decreased significantly,total,0,20?9 employees,LC1400_01,3
Business regulatory compliance costs: decreased moderately,total,0,20?9 employees,LC1400_02,96
Business regulatory compliance costs: stayed the same,total,0,20?9 employees,LC1400_03,2022
Business regulatory compliance costs: increased moderately,total,0,20?9 employees,LC1400_04,2709
Business regulatory compliance costs: increased significantly,total,0,20?9 employees,LC1400_05,1062
Business regulatory compliance costs: don't know,total,0,20?9 employees,LC1400_06,1194
Reason for increase in compliance costs: introduction of new regulation,total,0,20?9 employees,LC1501,2250
Reason for increase in compliance costs: increased complexity of existing regulation,total,0,20?9 employees,LC1502,2046
Reason for increase in compliance costs: improved compliance with regulation,total,0,20?9 employees,LC1503,1803
Reason for increase in compliance costs: expansion of business operations,total,0,20?9 employees,LC1504,504
Reason for increase in compliance costs: other,total,0,20?9 employees,LC1505,120
Reason for increase in compliance costs: don't know,total,0,20?9 employees,LC1506,327
Business spent significant time and resource on supplier factors,total,0,50?9 employees,LC0301,1035
Business spent significant time and resource on labour factors,total,0,50?9 employees,LC0302,1614
Business spent significant time and resource on technological / equipment factors,total,0,50?9 employees,LC0303,972
Business spent significant time and resource on financing factors,total,0,50?9 employees,LC0304,438
Business spent significant time and resource on customer related factors,total,0,50?9 employees,LC0305,1254
Business spent significant time and resource on competition factors,total,0,50?9 employees,LC0306,384
Business spent significant time and resource on regulatory factors,total,0,50?9 employees,LC0307,1089
Business spent significant time and resource on infrastructure factors,total,0,50?9 employees,LC0308,390
Business spent significant time and resource on none of the above,total,0,50?9 employees,LC0309,120
"Business responded to regulation: introduced new products, processes or services",total,0,50?9 employees,LC0401,573
"Business responded to regulation: improved existing products, processes or services",total,0,50?9 employees,LC0402,915
"Business responded to regulation: changed materials, equipment or work practices",total,0,50?9 employees,LC0403,729
Business responded to regulation: increased the use of outsourced services,total,0,50?9 employees,LC0404,312
Business responded to regulation: raised the skill level or employees,total,0,50?9 employees,LC0405,1197
Business responded to regulation: none of the above,total,0,50?9 employees,LC0406,450
Business effects from regulation: increased customer confidence,total,0,50?9 employees,LC0501,342
Business effects from regulation: increased efficiency in running the business,total,0,50?9 employees,LC0502,339
Business effects from regulation: increased employee productivity,total,0,50?9 employees,LC0503,279
Business effects from regulation: provided new market opportunities,total,0,50?9 employees,LC0504,198
Business effects from regulation: created a level playing field in this business's industry,total,0,50?9 employees,LC0505,132
Business effects from regulation: increased competition,total,0,50?9 employees,LC0506,270
Business effects from regulation: none of the above,total,0,50?9 employees,LC0507,1293
Business performance from employment regulation - constrained,total,0,50?9 employees,LC0601_01,396
Business performance from employment regulation - neither constrained nor enhanced,total,0,50?9 employees,LC0601_02,1296
Business performance from employment regulation - enhanced,total,0,50?9 employees,LC0601_03,153
Business performance from employment regulation - don't know,total,0,50?9 employees,LC0601_04,123
Business performance from employment regulation - not applicable,total,0,50?9 employees,LC0601_05,60
Business performance from workplace safety - constrained,total,0,50?9 employees,LC0602_01,555
Business performance from workplace safety - neither constrained nor enhanced,total,0,50?9 employees,LC0602_02,771
Business performance from workplace safety - enhanced,total,0,50?9 employees,LC0602_03,621
Business performance from workplace safety - don't know,total,0,50?9 employees,LC0602_04,60
Business performance from workplace safety- not applicable,total,0,50?9 employees,LC0602_05,30
Business performance from environmental regulation - constrained,total,0,50?9 employees,LC0603_01,231
Business performance from environmental regulation - neither constrained nor enhanced,total,0,50?9 employees,LC0603_02,1221
Business performance from environmental regulation - enhanced,total,0,50?9 employees,LC0603_03,165
Business performance from environmental regulation - don't know,total,0,50?9 employees,LC0603_04,192
Business performance from environmental regulation- not applicable,total,0,50?9 employees,LC0603_05,222
Business performance from business and trade laws - constrained,total,0,50?9 employees,LC0604_01,120
Business performance from business and trade laws - neither constrained nor enhanced,total,0,50?9 employees,LC0604_02,1425
Business performance from business and trade laws - enhanced,total,0,50?9 employees,LC0604_03,90
Business performance from business and trade laws - don't know,total,0,50?9 employees,LC0604_04,225
Business performance from business and trade laws- not applicable,total,0,50?9 employees,LC0604_05,171
