"","id","NZDep","ch_asian","ch_euro","ch_maori","ch_melaa","ch_other","ch_pacific","m_age","m_asian","m_euro","m_maori","m_melaa","m_other","m_pacific","m_wklfs","d_age","d_asian","d_euro","d_maori","d_melaa","d_other","d_pacific","d_wklfs","bedroom","m_years","m_tenure","m_edu","m_work_hour","m_smoke","m_income7","m_income8","m_income9","m_income10","m_income11","m_income12","d_years","d_tenure","d_edu","d_work_hour","d_smoke","d_income7","d_income8","d_income9","d_income10","d_income11","d_income12","ch_sex","child_family","d_family_role","heat_fuel","m_family_rol","telecom1","telecom2","telecom4","usual_resdnt","twin","singpar","total_income","NA"
"12",15,"3","0","1","0","0","0","0",9,"0","1","0","0","0","0","4",19,"0","1","0","0","0","0","1","3",2,"2","11",2,"2","0","0","0","0","0","0",3,"2","1",53,"2","0","0","0","0","0","0","1","21","1","1","1","1","1","1","3","1","1","10",53
"13",16,"3","0","0","0","0","1","0",16,"0","0","0","0","1","0","2",17,"0","0","0","0","1","0","1","1",3,"1","11",3,"3","0","0","0","0","0","0",2,"1","11",49,"3","0","0","0","0","0","0","1","21","1","1","1","99","99","99","5","1","1","11",49
"14",17,"10","0","1","0","0","0","0",18.8281369897428,"0","1","0","0","0","0","4",20,"0","1","0","0","0","0","1","3",16.7947770562771,"1","4",2,"3","0","0","0","0","0","0",14,"1","1",43,"3","0","0","0","0","0","0","2","31","1","1","1","1","1","1","3","1","3","12",43
"15",18,"3","0","1","0","0","0","0",16,"0","1","0","0","0","0","4",13,"0","1","0","0","0","0","1","3",25,"1","9",2,"2","0","0","0","0","0","0",25,"1","11",53,"3","0","0","0","0","0","0","2","21","1","1","1","1","1","1","3","1","1","14",53
"16",19,"6","0","1","0","0","0","0",15,"0","1","0","0","0","0","2",15,"0","1","0","0","0","0","1","4",3,"1","3",16,"3","0","0","0","0","0","0",3,"1","13",43,"3","0","0","0","0","0","0","1","21","1","1","1","1","1","1","3","1","1","12",43
"17",20,"10","0","1","0","0","0","0",18,"0","1","0","0","0","0","4",16,"0","1","0","0","0","0","3","2",2,"2","12",2,"2","0","0","0","0","0","0",14,"2","3",23,"2","0","0","0","0","0","0","2","21","1","1","1","99","99","99","3","1","1","10",23
"18",21,"4","0","1","0","0","0","0",17,"0","1","0","0","0","0","2",16,"0","1","0","0","0","0","1","4",3,"1","2",2,"3","0","0","0","0","0","0",37,"1","8",48.8252916141829,"2","0","0","0","0","0","0","1","21","1","1","1","1","1","1","5","1","1","13",46.6964607843137
"19",22,"10","0","0","1","0","0","0",23,"0","1","0","0","0","0","1",35,"0","0","1","0","0","0","4","3",25,"1","9",2,"3","0","0","0","0","0","0",20.2644444444444,"1","11",2,"3","0","0","0","0","0","0","1","21","1","1","1","99","99","99","3","1","1","14",2
"20",23,"5","1","0","0","0","0","0",17,"1","0","0","0","0","0","4",22,"1","0","0","0","0","0","1","5",14,"2","4",2,"3","0","0","0","0","0","0",14,"2","4",43,"3","0","0","0","0","0","0","1","21","1","1","1","1","1","1","8","1","1","13",43
"21",24,"2","0","1","0","0","0","0",25,"0","1","0","0","0","0","4",22,"0","1","0","0","0","0","1","3",2,"1","12",2,"3","0","0","0","0","0","0",2,"1","4",43,"1","0","0","0","0","0","0","1","21","1","1","1","1","1","1","4","1","1","7",43
"22",25,"7","0","0","1","0","1","0",16,"0","1","0","0","0","0","2",19,"0","1","0","0","0","0","1","4",31,"1","11",36,"3","0","0","0","0","0","0",14,"1","9",44,"2","0","0","0","0","0","0","1","21","1","1","1","1","1","1","3","1","1","12",44
"23",27,"6","0","1","1","0","0","0",17,"0","1","1","0","0","0","4",19.9336813186813,"0","1","1","0","0","0","4","5",2,"2","6",2,"2","0","0","0","0","0","0",9.94244850498339,"2","0",2,"1","0","0","0","0","0","0","1","31","1","1","1","1","1","1","7","1","2","14",2
"24",28,"2","0","0","0","0","1","0",22,"0","0","0","0","1","0","2",19,"0","0","0","0","1","0","1","4",14,"1","8",36.208753968254,"3","0","0","0","0","0","0",14,"1","10",43.8719841269841,"3","0","0","0","0","0","0","1","21","1","1","1","1","1","1","4","1","1","13",44.5605081618854
"25",29,"6","0","1","1","0","0","0",21,"0","1","0","0","0","0","1",24,"0","1","1","0","0","0","1","3",31,"1","2",22,"2","0","0","0","0","0","0",36,"1","1",73,"1","0","0","0","0","0","0","2","21","1","1","1","1","1","1","3","1","1","12",73
"26",30,"1","0","1","0","0","0","0",21,"0","1","0","0","0","0","4",25,"0","1","0","0","0","0","1","4",14,"1","11",2,"3","0","0","0","0","0","0",14,"1","11",43,"3","0","0","0","0","0","0","2","21","1","1","1","1","1","1","4","1","1","14",43
"27",31,"4","0","1","0","0","0","0",17,"0","1","0","0","0","0","2",23,"0","1","0","0","0","0","1","4",31,"2","1",23.3160676132522,"3","0","0","0","0","0","0",39,"2","0",73,"3","0","0","0","0","0","0","1","21","1","1","1","1","1","1","6","1","1","14",73
"28",33,"2","1","1","0","0","0","0",24,"0","1","0","0","0","0","4",25,"1","0","0","0","0","0","1","3",3,"1","11",4,"3","0","0","0","0","0","0",3,"1","13",43,"2","0","0","0","0","0","0","2","21","1","1","1","1","1","1","3","1","1","14",43
"29",34,"10","0","0","0","1","0","0",10,"0","0","0","0","1","0","1",8,"0","0","0","1","1","0","1","3",25,"2","11",38,"3","0","0","0","0","0","0",25,"2","8",48,"3","0","0","0","0","0","0","1","21","1","1","1","99","99","99","3","1","1","14",48
"30",35,"9","0","0","1","0","0","0",17,"0","0","1","0","0","0","4",21,"0","0","1","0","0","0","1","4",25,"2","2",2,"1","0","0","0","0","0","0",4,"2","1",43,"1","0","0","0","0","0","0","2","21","1","1","1","1","1","1","5","1","1","10",43
"31",36,"6","0","1","0","0","1","0",19,"0","0","0","0","1","0","4",25,"0","1","0","0","1","0","1","4",25,"1","8",60,"3","0","0","0","0","0","1",25,"2","8",43,"3","0","0","0","0","0","1","1","21","1","1","1","1","1","1","5","1","1","14",43
"32",37,"6","0","1","1","0","0","0",23,"0","1","0","0","0","0","4",19,"0","0","1","0","0","0","1","2",32,"2","0",32,"1","0","0","0","0","0","0",34,"2","1",43,"1","0","0","0","0","0","0","1","21","1","1","1","1","1","1","4","1","1","9",43
"33",39,"6","0","1","0","0","0","0",17,"0","1","0","0","0","0","4",18,"0","1","0","0","0","0","1","3",3,"1","2",2,"1","0","0","0","0","0","0",3,"1","1",53,"1","0","0","0","0","0","0","1","21","1","1","1","1","1","1","3","1","1","13",53
"34",41,"6","1","0","0","0","0","0",18,"1","0","0","0","0","0","1",20,"1","0","0","0","0","0","1","3",14,"1","11",44,"3","0","0","0","0","0","0",14,"1","13",43,"2","0","0","0","0","0","0","1","21","1","1","1","1","1","1","4","1","1","13",43
"35",42,"1","0","1","0","0","0","0",21,"0","1","0","0","0","0","4",22,"0","1","0","0","0","0","1","3",2,"2","1",2,"2","0","0","0","0","0","0",2,"2","11",48,"3","0","0","0","0","0","0","2","21","1","1","1","1","1","1","3","1","1","14",48
"36",43,"3","0","1","0","0","0","0",8,"0","1","0","0","0","0","4",13.7683939393939,"0","1","0","0","0","0","3","3",2,"2","2",2,"3","0","0","1","0","0","1",6.51666666666667,"2","2",2,"1","0","0","0","0","0","0","1","31","1","1","1","1","1","1","3","1","2","8",2
"37",44,"10","0","0","1","0","0","0",17.9195261437909,"0","0","1","0","0","0","4",22,"0","0","1","0","0","0","1","3",8.48583333333333,"2","7",2,"3","0","0","0","0","0","0",2,"2","0",43,"3","0","0","0","0","0","0","1","31","1","1","1","1","1","1","3","1","3","11",43
"38",46,"9","1","0","0","0","0","0",22,"1","0","0","0","0","0","4",19,"1","0","0","0","0","0","1","3",25,"2","11",2,"3","0","0","0","0","0","0",25,"2","11",46,"3","0","0","0","0","0","0","2","21","1","1","1","1","1","1","5","1","1","12",46
"39",47,"6","0","1","0","0","0","0",14,"0","1","0","0","0","0","1",12,"0","1","1","0","0","0","1","3",14,"1","9",45,"3","0","0","0","0","0","0",11.3061697558839,"1","2",43,"2","0","0","0","0","0","0","1","21","1","1","1","1","1","1","3","1","1","12",43
"40",48,"7","0","1","0","0","0","0",5,"0","1","0","0","0","0","2",11,"0","1","0","0","0","0","1","4",2,"2","2",44,"1","0","0","0","0","0","0",3,"2","1",76,"3","0","0","0","0","0","0","2","21","1","1","1","1","1","1","3","1","1","10",76
"41",49,"8","0","0","0","0","1","0",12,"0","1","0","0","0","0","1",19,"0","1","0","0","0","0","1","3",14,"1","7",29.7589523809524,"3","0","0","0","0","0","0",14,"1","11",53,"2","0","0","0","0","0","0","1","21","1","1","1","1","1","1","3","1","1","14",53
"42",50,"9","0","1","1","0","0","0",18,"0","1","1","0","0","0","4",23,"0","1","0","0","0","0","1","4",14,"2","1",2,"1","0","0","0","0","0","0",36,"1","8",43,"1","0","0","0","0","0","0","1","21","1","1","1","99","99","99","4","1","1","11",43
"43",52,"4","0","1","0","0","0","0",9,"0","1","0","0","0","0","2",14,"0","1","0","0","0","0","4","3",2,"1","2",17.6602897102897,"3","0","0","0","0","0","0",2,"1","1",2,"3","0","0","0","0","0","0","1","21","1","1","1","99","99","99","3","1","1","7",2
"44",55,"1","0","0","0","0","0","0",23,"0","1","0","0","0","0","2",25,"0","1","0","0","0","0","1","4",19.8766153846154,"2","12",4,"3","0","0","0","0","0","0",41,"1","10",2,"1","0","0","0","0","0","0","1","21","1","1","1","1","1","1","4","1","1","12",2
"45",57,"8","0","0","1","0","0","0",18,"0","0","1","0","0","0","4",17,"0","0","1","0","0","0","1","3",2,"1","2",2,"2","0","0","0","0","0","0",2,"1","3",43,"1","0","0","0","0","0","0","2","21","1","1","1","1","1","1","5","1","1","10",43
"46",58,"5","0","1","1","0","1","0",22,"0","1","1","0","1","0","2",25,"0","1","0","0","1","0","1","3",25,"1","1",4,"2","0","0","0","0","0","0",14,"1","0",64,"1","0","0","0","0","0","0","1","21","1","1","1","1","1","1","3","1","1","13",64
"47",59,"10","0","0","1","0","0","0",5,"0","0","1","0","0","0","4",4,"0","0","1","0","0","0","4","2",2,"2","1",2,"1","0","0","0","0","0","0",2,"2","0",2,"1","0","0","0","0","0","0","1","21","1","0","1","1","1","1","3","1","1","3",2
"48",60,"5","0","0","1","0","0","0",15,"0","0","1","0","0","0","4",15,"0","0","1","0","0","0","4","3",16.9197727272727,"1","0",2,"2","0","0","0","0","0","0",34,"1","1",2,"2","0","0","0","0","0","0","2","21","1","1","1","1","1","1","6","1","1","9",2
"49",61,"7","0","1","0","0","0","0",23,"0","1","0","0","0","0","4",22,"0","1","0","0","0","0","1","3",30,"1","2",2,"3","0","0","0","0","0","0",34,"1","1",48,"3","0","0","0","0","0","0","2","21","1","1","1","1","1","1","4","1","1","13",48
"50",62,"8","0","1","1","0","0","0",18,"0","1","0","0","0","0","1",15,"0","1","1","0","0","0","1","3",14,"2","10",2,"3","0","0","0","0","0","0",2,"2","1",48,"3","0","0","0","0","0","0","2","21","1","1","1","1","1","1","4","1","1","14",48
"51",67,"3","0","1","0","0","0","0",24,"0","1","0","0","0","0","1",26,"0","1","0","0","0","0","1","4",14,"1","11",33,"3","0","0","0","0","0","0",14,"1","12",5,"3","0","0","0","0","0","0","2","21","1","1","1","1","1","1","4","1","1","13",5
"52",68,"10","0","0","0","0","0","1",18,"1","0","0","0","0","1","1",19,"0","0","0","0","0","1","1","3",2,"1","9",41,"3","0","0","0","0","0","0",39,"2","4",46.3249166666667,"3","0","0","0","0","0","0","2","21","1","1","1","1","1","1","5","1","1","13",44.5858333333333
"53",69,"3","0","1","1","0","0","0",23,"0","1","0","0","0","0","4",26,"0","0","1","0","0","0","1","5",14,"1","1",2,"2","0","0","0","0","0","0",14,"1","0",64,"2","0","0","0","0","0","0","2","21","1","1","1","1","1","1","5","1","1","14",64
"54",71,"10","0","0","1","0","0","0",5,"0","0","1","0","0","0","3",15.5582948717949,"0","0","1","0","0","0","4","4",32,"1","0",2,"1","1","1","0","0","0","0",15.3423183760684,"2","0",2,"1","0","0","0","0","0","0","1","31","1","1","1","99","99","99","8","1","2","3",2
"55",72,"4","0","1","1","0","1","0",21,"0","1","1","0","1","0","4",26,"0","1","0","0","0","0","1","2",25,"1","0",2,"2","0","0","0","0","0","0",25,"1","1",50,"1","0","0","0","0","0","0","2","21","1","1","1","1","1","1","3","1","1","13",50
"56",73,"2","0","1","0","0","0","0",24,"0","1","0","0","0","0","2",24,"0","1","0","0","0","0","1","3",14,"1","11",72,"2","0","0","0","0","0","0",25,"1","12",53,"3","0","0","0","0","0","0","1","21","1","1","1","1","1","1","4","1","1","13",53
"57",75,"9","0","0","0","0","0","0",10,"0","0","1","0","0","0","4",15.4035,"0","0","1","0","0","0","4","3",8.77622619047619,"2","0",2,"1","0","0","0","0","0","0",8.3627497665733,"2","0",2,"1","0","0","0","0","0","0","2","31","1","1","1","1","1","1","5","1","2","6",2
"58",76,"10","0","0","0","0","0","1",27,"0","0","0","0","0","1","4",22,"0","0","1","0","0","0","4","3",2,"2","11",2,"1","0","0","0","0","0","0",2,"2","0",2,"1","0","0","0","0","0","0","1","21","1","1","1","1","1","1","6","1","1","9",2
"59",78,"1","0","1","0","0","0","0",23.2663977320749,"0","1","0","0","0","0","4",30,"0","1","0","0","0","0","2","5",11.4705545112782,"1","12",2,"3","0","0","0","0","0","0",14,"1","11",43,"3","0","0","0","0","0","0","1","33","1","1","1","1","1","1","4","1","3","13",43
"60",79,"6","0","1","0","0","0","0",12,"0","1","0","0","0","0","4",9,"0","1","0","0","0","0","1","3",2,"2","0",2,"2","0","0","0","0","0","0",4.93670082815735,"2","0",46.4145522875817,"1","0","0","0","0","0","0","2","21","1","1","1","1","1","1","4","1","1","11",45.5816786961972
"61",80,"4","1","0","0","0","0","0",16,"1","0","0","0","0","0","4",19,"1","0","0","0","0","0","1","5",14,"2","10",2,"3","0","0","0","0","0","0",14,"2","11",40,"3","0","0","0","0","0","0","2","21","1","1","1","1","1","1","5","1","1","13",40
"62",81,"10","0","0","0","0","0","1",5,"0","0","0","0","0","1","4",14.3957948717949,"0","0","0","0","0","1","4","4",17,"2","0",2,"1","0","0","1","0","0","0",15.7589166666667,"2","0",2,"1","0","0","0","0","0","0","1","31","1","0","1","99","99","99","6","1","2","14",2
"63",82,"10","0","0","1","0","0","0",20,"0","0","1","0","0","0","2",38,"0","0","1","0","0","0","1","3",2,"2","7",28,"1","0","0","0","0","0","0",3,"2","0",53,"1","0","0","0","0","0","0","2","21","1","1","1","1","1","1","4","1","1","12",53
"64",83,"1","0","0","0","0","0","0",26,"0","1","0","0","0","0","4",20,"0","1","0","0","0","0","1","3",2,"1","11",2,"3","0","0","0","0","0","0",14,"1","13",43,"3","0","0","0","0","0","0","1","21","1","1","1","1","1","1","4","1","1","14",43
"65",86,"3","0","1","0","0","0","0",21,"0","1","0","0","0","0","1",22,"0","1","0","0","0","0","1","4",3,"1","4",44,"3","0","0","0","0","0","0",2,"1","11",43,"1","0","0","0","0","0","0","1","21","1","1","1","1","1","1","3","1","1","13",43
"66",87,"3","0","1","0","0","0","0",19,"0","1","0","0","0","0","2",20,"0","1","0","0","0","0","1","4",31,"1","3",2,"3","0","0","0","0","0","0",34,"1","8",53,"3","0","0","0","0","0","0","2","21","1","1","1","99","99","99","4","1","1","14",53
"67",88,"7","0","1","0","0","0","0",17,"0","1","0","0","0","0","2",15,"0","1","0","0","0","0","1","3",32,"1","0",2,"1","0","0","0","0","0","0",34,"1","8",48,"1","0","0","0","0","0","0","2","21","1","1","1","99","99","99","5","1","1","12",48
"68",89,"3","0","0","0","0","1","0",27,"0","1","0","0","0","0","2",24.88625,"0","1","0","0","0","0","4","3",3,"1","1",17.0784090909091,"3","0","0","0","0","0","0",14.7487333864965,"1","4",2,"3","0","0","0","0","0","0","1","31","1","1","1","99","99","99","3","1","2","14",2
"69",92,"3","0","1","0","0","0","0",23,"0","1","0","0","0","0","2",23,"0","1","0","0","0","0","1","3",14,"1","11",13,"3","0","0","0","0","0","0",2,"1","13",48,"3","0","0","0","0","0","0","1","21","1","1","1","1","1","1","4","1","1","14",48
"70",93,"6","0","1","0","0","0","0",18,"0","0","0","0","0","0","4",20,"0","1","0","0","0","0","1","3",2,"2","4",2,"3","0","0","0","0","0","0",14,"2","11",43,"3","0","0","0","0","0","0","1","21","1","1","1","1","1","1","4","1","1","12",43
"71",94,"5","0","1","0","0","0","0",20,"0","1","0","0","0","0","2",23,"0","1","0","0","0","0","1","3",33,"1","0",4,"2","0","0","0","0","0","0",25,"1","8",58,"2","0","0","0","0","0","0","1","21","1","1","1","1","1","1","4","1","1","13",58
"72",95,"2","0","1","0","0","0","0",21,"0","1","0","0","0","0","2",27,"0","1","0","0","0","0","1","3",2,"1","11",22,"3","0","0","0","0","0","0",3,"1","13",43,"3","0","0","0","0","0","0","1","21","1","1","1","1","1","1","4","1","1","13",43
"73",96,"5","0","1","0","0","0","0",17,"0","1","0","0","0","0","3",18,"0","1","0","0","0","0","4","3",25,"2","8",2,"1","0","0","0","0","0","0",25,"2","9",29,"1","0","0","0","0","0","0","1","21","1","1","1","1","1","1","4","1","1","13",29
"74",97,"1","0","1","0","0","0","0",23,"0","1","0","0","0","0","1",25,"0","1","0","0","0","0","1","3",8,"1","0",59,"3","0","0","0","0","0","0",7,"1","2",43,"3","0","0","0","0","0","0","1","21","1","1","1","1","1","1","5","1","1","11",43
"75",98,"10","0","0","1","0","0","0",18,"0","0","1","0","0","0","4",20.3492857142857,"0","0","1","0","0","0","4","3",14,"2","0",2,"2","0","0","1","0","0","0",13.095,"2","0",2,"1","0","0","0","0","0","0","2","33","1","1","1","1","1","1","6","1","2","11",2
"76",99,"5","1","0","0","0","0","0",21,"1","0","0","0","0","0","2",22,"1","0","0","0","0","0","1","3",14,"2","11",27,"3","0","0","0","0","0","1",14,"2","9",53,"1","0","0","0","0","0","1","1","21","1","1","1","1","1","1","5","1","1","14",53
"77",100,"10","0","0","0","0","0","1",19,"0","0","0","0","0","1","4",19.0511666666667,"0","0","0","0","0","1","3","3",30,"2","1",2,"2","1","0","1","0","1","0",19.4116666666667,"2","0",2,"3","0","0","0","0","0","0","2","31","1","1","1","1","1","1","4","1","2","13",2
"78",101,"2","0","1","0","0","0","0",14,"0","1","0","0","0","0","1",21,"0","1","0","0","0","0","1","3",14,"1","2",44,"3","0","0","0","0","0","0",14,"1","1",40,"3","0","0","0","0","0","0","2","21","1","1","1","1","1","1","3","1","1","14",40
"79",103,"3","0","1","0","0","0","0",19,"0","1","0","0","0","0","4",18,"0","1","0","0","0","0","1","3",31,"1","2",2,"3","0","0","0","0","0","0",40,"1","1",43,"3","0","0","0","0","0","0","1","21","1","1","1","1","1","1","4","1","1","13",43
"80",104,"6","0","1","0","0","0","0",13,"0","1","0","0","0","0","4",11,"0","1","0","0","0","0","1","3",14,"1","11",2,"3","0","0","0","0","0","0",14,"1","11",53,"3","0","0","0","0","0","0","2","21","1","1","1","1","1","1","3","1","1","12",53
"81",105,"8","0","0","0","0","0","0",15,"0","1","0","0","0","0","4",17,"0","1","1","0","0","0","1","3",14,"2","0",2,"2","0","0","0","0","0","0",14,"2","0",2,"2","0","0","0","0","0","0","1","21","1","1","1","1","1","1","4","2","1","12",2
"82",106,"5","0","1","0","0","0","0",18.0605801633711,"0","1","0","0","0","0","4",18,"0","1","0","0","0","0","1","2",16.3863083157583,"1","4",2,"3","0","0","0","0","0","0",25,"1","8",2,"2","0","0","0","0","0","0","1","31","1","1","1","1","1","1","2","1","3","2",2
"83",108,"2","0","1","0","0","0","0",23,"0","1","0","0","0","0","1",19,"0","1","0","0","0","0","1","4",3,"1","13",21.0425776143791,"2","0","0","0","0","0","0",3,"1","11",53,"3","0","0","0","0","0","0","2","21","1","1","1","1","1","1","4","1","1","14",53
"84",110,"9","0","1","0","0","0","0",21,"0","1","0","0","0","0","4",18,"0","1","0","0","0","0","1","3",2,"2","1",2,"1","0","0","0","0","0","0",14,"2","7",48,"1","0","0","0","0","0","0","1","21","1","1","1","1","1","1","4","1","1","10",48
"85",112,"2","0","1","0","0","0","0",27,"0","1","0","0","0","0","2",26,"0","1","0","0","0","0","1","3",5,"1","14",9,"3","0","0","0","0","0","0",39,"1","8",60,"3","0","0","0","0","0","0","2","21","1","1","1","1","1","1","3","1","1","12",60
"86",113,"3","0","1","0","0","0","0",11,"0","1","0","0","0","0","2",14,"0","1","0","0","0","0","1","3",2,"2","1",44,"3","0","0","0","0","0","0",2,"2","2",64,"3","0","0","0","0","0","0","2","21","1","1","1","1","1","1","4","2","1","12",64
"87",115,"4","0","1","0","0","0","0",19,"0","1","0","0","0","0","4",18,"0","0","0","0","1","0","1","3",3,"2","1",2,"3","0","0","0","0","0","0",25,"2","4",43,"3","0","0","0","0","0","0","2","21","1","1","1","1","1","1","5","1","1","11",43
"88",117,"6","0","1","0","0","0","0",19,"0","1","0","0","0","0","1",18,"0","1","0","0","0","0","1","3",3,"1","3",44,"3","0","0","0","0","0","0",14,"1","4",58,"2","0","0","0","0","0","0","1","21","1","1","1","99","99","99","3","1","1","14",58
"89",118,"2","1","1","0","0","0","1",15,"0","1","0","0","0","1","4",12,"1","1","0","0","0","0","1","3",3,"1","11",2,"3","0","0","0","0","0","0",3,"1","8",51,"3","0","0","0","0","0","0","1","21","1","1","1","1","1","1","3","1","1","13",51
"90",120,"5","0","1","0","0","0","1",24,"0","0","0","0","0","1","4",14,"0","1","0","0","0","0","1","5",2,"1","2",2,"3","0","0","0","0","0","0",2,"1","11",47,"3","0","0","0","0","0","0","1","21","1","1","1","1","1","1","6","1","1","14",47
"91",122,"7","0","1","0","0","0","0",23,"0","1","0","0","0","0","2",18,"0","1","0","0","0","0","1","5",14,"1","13",2,"2","0","0","0","0","0","0",2,"1","6",47,"2","0","0","0","0","0","0","2","21","1","1","1","1","1","1","7","1","1","13",47
"92",123,"7","0","1","0","0","0","0",18,"0","1","0","0","0","0","4",17,"0","1","0","0","0","0","1","3",2,"2","1",2,"1","0","0","0","0","0","0",2,"2","0",42.5714803921569,"1","0","0","0","0","0","0","1","21","1","1","1","99","99","99","4","1","1","8",42.4027628550311
"93",125,"4","0","1","0","0","0","0",16,"0","1","0","0","0","0","4",15,"0","1","0","0","0","0","1","3",2,"2","2",2,"3","0","0","0","0","0","0",2,"2","7",59,"3","0","0","0","0","0","0","2","21","1","1","1","1","1","1","6","1","1","14",59
"94",126,"10","0","0","1","0","0","1",21,"0","0","1","0","0","0","4",20,"0","0","1","0","0","1","3","2",3,"2","6",2,"1","0","0","0","0","0","0",7.04172023809524,"2","0",2,"2","0","0","0","0","0","0","2","21","1","1","1","1","1","1","4","1","1","7",2
"95",127,"1","0","1","0","0","0","0",24,"0","1","0","0","0","0","1",33,"0","1","0","0","0","0","2","4",25,"1","11",44,"3","0","0","0","0","0","0",25,"1","8",2,"3","0","0","0","0","0","0","2","21","1","1","1","1","1","1","3","1","1","13",2
"96",128,"6","0","1","0","0","0","0",22,"0","1","0","0","0","0","1",20,"0","1","0","0","0","0","1","2",3,"2","11",35,"2","0","0","0","0","0","0",3,"2","4",73,"2","0","0","0","0","0","0","2","21","1","1","1","99","99","99","3","1","1","12",73
"97",129,"4","0","0","0","0","1","0",9,"0","0","0","0","1","0","1",18,"0","0","0","0","1","0","1","4",2,"2","10",46,"3","0","0","0","0","0","0",14,"2","10",39,"3","0","0","0","0","0","0","1","21","1","1","1","1","1","1","3","1","1","11",39
"98",130,"8","0","0","0","0","1","0",9,"0","0","0","0","1","0","1",11,"0","1","0","0","0","0","1","3",2,"2","2",36,"1","0","0","0","0","0","0",2,"2","1",43,"1","0","0","0","0","0","0","2","21","1","1","1","1","1","1","3","1","1","10",43
"99",131,"10","0","0","0","0","0","1",8,"0","0","0","0","0","1","4",15.3501282051282,"0","0","0","0","0","1","4","3",30,"2","1",2,"2","0","1","1","0","0","0",16.9115555555556,"2","0",2,"1","0","0","0","0","0","0","1","31","1","1","1","99","99","99","6","1","2","11",2
"100",132,"6","1","1","0","0","0","0",19,"1","0","0","0","0","0","4",31,"0","1","0","0","0","0","4","2",2,"1","4",2,"3","0","0","0","0","0","0",25,"1","1",2,"3","0","0","0","0","0","0","2","21","1","1","1","1","1","1","4","1","1","8",2
